### Locus tag	Product description
ECU09_1400	Uncharacterized protein ECU09_1400
ECU07_1810	hypothetical protein
ECU09_1710	FAD-binding FR-type domain-containing protein
ECU09_0680	LA RIBONUCLEOPROTEIN
ECU10_1400	hypothetical protein
ECU02_0250	Putative RNA-binding protein with some similarity to polyadenylate-binding proteins
ECU04_0840	Similarity to ASPARAGINE SYNTHETASE
ECU09_0620	hypothetical protein
ECU08_0990	hypothetical protein
ECU06_1530	Nucleoside diphosphate kinase
ECU06_0490	Diphosphomevalonate decarboxylase
ECU10_0200	Nop domain-containing protein
ECU11_1690	Similarity to Myb-related transcription factor
ECU04_0810	EF-hand domain-containing protein
ECU09_1525	ECU09_1525 protein
ECU11_1220	hypothetical protein
ECU11_1840	hypothetical protein
ECU03_1050	hypothetical protein
ECU10_1520	ABC transporter domain-containing protein
ECU08_1710	hypothetical protein
ECU02_0120	hypothetical protein
ECU07_1880	UPF0329 protein ECU07_1880/ECU10_0020
ECU06_0210	eIF2B_5 domain-containing protein
ECU06_0370	similarity to HYPOTHETICAL PROTEINS YC47_SCHPO
ECU04_1357	ECU04_1357 protein
ECU09_1790	V-type proton ATPase subunit a
ECU10_1060	Phosphoglycerate mutase (2%2C3-diphosphoglycerate-independent)
ECU07_0840	DNA-DIRECTED RNA POLYMERASE I
ECU05_0830	hypothetical protein
ECU07_1450	hypothetical protein
ECU04_0925	ECU04_0925 protein
ECU04_0125	40S ribosomal protein S29
ECU07_0360	Probable spindle assembly checkpoint kinase homolog
ECU01_0640	hypothetical protein
ECU01_1040	NOT2_3_5 domain-containing protein
ECU06_0830	RING-CH-type domain-containing protein
ECU03_1590	ANK_REP_REGION domain-containing protein
ECU09_0860	ThiF domain-containing protein
ECU01_0090	UPF0328 protein ECU01_0090/ECU01_1520/ECU02_1550/ECU08_0020
ECU04_0190	KH domain-containing protein
ECU09_1570	hypothetical protein
ECU10_1020	hypothetical protein
ECU11_0900	similarity to HYPOTHETICAL PROTEIN YM8P_yeast
ECU03_0210	PSP1 C-terminal domain-containing protein
ECU11_0400	similarity to HYPOTHETICAL PROTEIN YHY1_yeast
ECU01_0930	Thioredoxin domain-containing protein
ECU03_0100	HD_domain domain-containing protein
ECU05_1640	UPF0328 protein ECU05_1640/ECU11_0090
ECU03_0377	ECU03_0377 protein
ECU04_0700	Serine/threonine-protein phosphatase
ECU05_1690	UPF0328 protein ECU05_1690/ECU11_0040
ECU03_0530	V-SNARE coiled-coil homology domain-containing protein
ECU05_0720	SPLICING FACTOR U2AF 59kDa SUBUNIT (U2 snRNP AUXILIARY FACTOR LARGE SUBUNIT)
ECU04_1650	UPF0329 protein ECU04_1650
ECU01_0950	hypothetical protein
ECU11_2050	hypothetical protein
ECU03_0370	hypothetical protein
ECU08_0910	hypothetical protein
ECU09_1560	Thioredoxin domain-containing protein
ECU02_1430	GPN-loop GTPase
ECU05_0600	60S ribosomal protein L1
ECU09_0280	DUF5096 domain-containing protein
ECU08_0380	RRM domain-containing protein
ECU09_0290	Similarity to NON-MUSCLE ALPHA ACTININ
ECU06_1425	ECU06_1425 protein
ECU04_0400	Probable heat shock factor protein homolog
ECU04_1590	hypothetical protein
ECU10_0790	hypothetical protein
ECU09_1200	ATP-dependent RNA helicase eIF4A
ECU03_0840	Small nuclear ribonucleoprotein Sm D3
ECU11_1410	hypothetical protein
ECU09_0595	ECU09_0595 protein
ECU10_0110	hypothetical protein
ECU05_0470	hypothetical protein
ECU04_1550	mRNA-capping enzyme subunit beta
ECU03_1370	Histone deacetylase
ECU08_1550	Uncharacterized membrane protein ECU08_1550
ECU07_1190	Tubulin alpha chain
ECU04_0780	Eukaryotic translation initiation factor 6
ECU09_0080	hypothetical protein
ECU05_0650	Probable glucose-6-phosphate isomerase
ECU04_0430	hypothetical protein
ECU09_0190	Putative leucine repeat-rich protein
ECU05_1460	hypothetical protein
ECU04_1440	TRANSCRIPTION INITIATION FACTOR TFIID (TFIID-1)
ECU05_0760	ULP_PROTEASE domain-containing protein
ECU01_0190	Serine hydroxymethyltransferase%2C cytosolic
ECU09_0810	Tr-type G domain-containing protein
ECU06_0350	Transcription initiation factor IIE subunit beta
ECU09_1390	RuvB-like protein 1
ECU06_0570	DOD-type homing endonuclease domain-containing protein
ECU03_0090	UPF0329 protein ECU03_0090
ECU11_0560	similarity to HYPOTHETICAL PROTEIN YB60_Yeast
ECU06_0200	General transcription and DNA repair factor IIH helicase subunit XPD
ECU06_0540	Putative SKT5-like protein
ECU10_0490	hypothetical protein
ECU10_0800	Ribosomal RNA-processing protein 8
ECU07_0600	Adrenodoxin homolog
ECU01_1270	Spore wall protein 3
ECU10_0710	DNA_MISMATCH_REPAIR_2 domain-containing protein
ECU06_1180	hypothetical protein
ECU06_0890	hypothetical protein
ECU07_1000	hypothetical protein
ECU07_1410	60S RIBOSOMAL PROTEIN L17
ECU01_0290	C2H2-type domain-containing protein
ECU01_1020	hypothetical protein
ECU07_0490	MCM domain-containing protein
ECU06_1010	TRAUB domain-containing protein
ECU09_1960	CMP/dCMP-type deaminase domain-containing protein
ECU07_1470	hypothetical protein
ECU02_1000	hypothetical protein
ECU08_0160	CALCINEURIN BETA SUBUNIT
ECU07_0830	HFM1-LIKE ATP-DEPENDENT RNA HELICASE (SKI2 subfamily)
ECU03_1560	Similarity to RAS-RELATED CELL DIVISION PROTEIN 42
ECU09_1540	DUF5097 domain-containing protein
ECU02_0730	Poly(A) polymerase
ECU09_0510	DUF2439 domain-containing protein
ECU11_1440	Polar tube protein 3
ECU11_1340	ABC transporter-like protein ECU11_1340
ECU11_0630	hypothetical protein
ECU04_1330	hypothetical protein
ECU10_1480	Homeobox protein HD-2
ECU02_0370	hypothetical protein
ECU06_0430	Deoxyuridine 5'-triphosphate nucleotidohydrolase
ECU03_0850	hypothetical protein
ECU08_1020	hypothetical protein
ECU08_0580	hypothetical protein
ECU01_0210	Uncharacterized protein ECU01_0210/ECU01_1400
ECU10_1370	putative INOSITOL POLYPHOSPHATE-5-PHOSPHATASE
ECU08_1900	putative protein of the CBBQ/NORQ/NIRQ/GVPN family
ECU06_0170	hypothetical protein
ECU01_0800	Alpha%2Calpha-trehalose-phosphate synthase [UDP-forming]
ECU08_0470	Peptidyl-prolyl cis-trans isomerase
ECU05_1150	CPSF_A domain-containing protein
ECU02_0970	hypothetical protein
ECU08_0780	hypothetical protein
ECU09_1180	TPR_REGION domain-containing protein
ECU08_1140	hypothetical protein
ECU07_1460	60S ribosomal protein L37
ECU04_1210	U-box domain-containing protein
ECU03_1170	Homeobox protein HD-10
ECU06_0790	Probable aspartate--tRNA ligase%2C cytoplasmic
ECU10_1240	Importin N-terminal domain-containing protein
ECU07_0640	CDC37_N domain-containing protein
ECU07_1040	PROTEASOME_ALPHA_1 domain-containing protein
ECU06_0410	CAP-Gly domain-containing protein
ECU05_0465	ECU05_0465 protein
ECU05_0260	Phosphomannomutase
ECU04_1090	ACTIN-LIKE 53kDa PROTEIN
ECU10_1840	hypothetical protein
ECU04_0050	Uncharacterized protein ECU01_0040
ECU07_1560	hypothetical protein
ECU09_0520	hypothetical protein
ECU04_1050	hypothetical protein
ECU01_1480	UPF0329 protein ECU01_0130/ECU01_1480/ECU08_0060
ECU10_1360	EF-hand domain-containing protein
ECU02_0960	GOLD domain-containing protein
ECU06_0780	Symplekin_C domain-containing protein
ECU10_0080	hypothetical protein
ECU07_0470	hypothetical protein
ECU07_0860	CULLIN_2 domain-containing protein
ECU03_1505	ECU03_1505 protein
ECU09_1010	C3H1-type domain-containing protein
ECU02_0600	hypothetical protein
ECU08_1770	Tau95 domain-containing protein
ECU10_0290	Matrin-type domain-containing protein
ECU06_1350	hypothetical protein
ECU02_0580	Probable hydroxyacylglutathione hydrolase ECU02_0580
ECU09_1270	hypothetical protein
ECU07_0200	hypothetical protein
ECU08_1490	hypothetical protein
ECU05_1560	hypothetical protein
ECU10_1660	Spore wall protein 1
ECU06_0670	PH domain-containing protein ECU06_0670
ECU06_1360	Endo/exonuclease/phosphatase domain-containing protein
ECU03_1190	Putative thioredoxin peroxidase
ECU07_1220	FH2 domain-containing protein
ECU04_1280	PlsC domain-containing protein
ECU03_0390	ABC transporter domain-containing protein
ECU07_0270	Ras-GEF domain-containing protein
ECU02_0380	hypothetical protein
ECU03_0160	hypothetical protein
ECU07_0950	Similarity to replication factor A protein 3
ECU01_1420	Serine hydroxymethyltransferase%2C cytosolic
ECU09_1210	GlcNAc-PI synthesis protein
ECU08_1420	SAC domain-containing protein
ECU07_1080	hypothetical protein
ECU04_0640	Ribosomal_S17_N domain-containing protein
ECU06_0175	Protein kish
ECU10_1380	HECT domain-containing protein
ECU07_1115	ECU07_1115 protein
ECU07_1340	rRNA METHYL-TRANSFERASE
ECU01_0480	hypothetical protein
ECU05_0910	Sm domain-containing protein
ECU11_1050	OLIGOPEPTIDE TRANSPORTER
ECU11_0350	RAB GDP DISSOCIATION INHIBITOR
ECU02_1370	ALPHA ALPHA TREHALASE PRECURSOR
ECU07_1590	hypothetical protein
ECU09_1375	Glutaredoxin domain-containing protein
ECU09_1670	DUF2428 domain-containing protein
ECU09_1380	60S ribosomal export protein NMD3
ECU04_1180	Inosine triphosphate pyrophosphatase
ECU09_0540	hypothetical protein
ECU11_0620	DIACYLGLYCEROL ETHANOLAMINE PHOSPHOTRANSFERASE
ECU03_0305	VACUOLAR ATP SYNTHASE SUBUNIT F
ECU10_0190	PCI domain-containing protein
ECU08_1500	Palmitoyltransferase
ECU07_1530	Similarity to ribosomal protein L5
ECU02_0820	hypothetical protein
ECU09_0470	hypothetical protein
ECU11_1680	hypothetical protein
ECU11_0880	CTP synthase
ECU11_1430	Diphthine methyl ester synthase
ECU02_0980	Archease domain-containing protein
ECU09_1500	Putative methyltransferase ECU09_1500
ECU11_1380	Ribosomal protein L15
ECU05_0240	NADPH CYTOCHROME P450 REDUCTASE
ECU04_1640	hypothetical protein
ECU07_0820	60S acidic ribosomal protein P0
ECU08_0110	ABC transporter domain-containing protein
ECU06_1310	RING-CH-type domain-containing protein
ECU05_0380	hypothetical protein
ECU08_0860	UBC core domain-containing protein
ECU08_0410	Histone H2B
ECU10_0430	hypothetical protein
ECU07_0960	DNA-directed RNA polymerases I%2C II%2C and III subunit RPABC1
ECU10_1530	hypothetical protein
ECU05_0090	Small COPII coat GTPase SAR1
ECU05_0390	Cleavage and polyadenylation specificity factor subunit 2
ECU04_1620	CTLH domain-containing protein
ECU02_0440	Probable phospholipid hydroperoxide glutathione peroxidase
ECU08_1060	40S ribosomal protein S13
ECU03_0290	DNA-directed RNA polymerase II subunit RPB1
ECU04_0610	RING-type domain-containing protein
ECU10_1045	ECU10_1045 protein
ECU01_1320	PROTEIN KINASE C (EPSILON TYPE)
ECU10_0870	Probable glycerol-3-phosphate dehydrogenase
ECU09_0440	Histone H4
ECU11_1270	RuvB-like helicase 2
ECU01_1115	Cytochrome b5 heme-binding domain-containing protein
ECU08_1890	hypothetical protein
ECU10_0310	PlsC domain-containing protein
ECU06_0120	TRANSKETOLASE_1 domain-containing protein
ECU03_1070	Transcription initiation factor IIA large subunit
ECU07_0630	hypothetical protein
ECU08_1660	Transcription elongation factor SPT4
ECU03_0800	Ubiquitin-related modifier 1
ECU11_1610	tRNA pseudouridine synthase
ECU11_1810	(2E%2C6E)-farnesyl diphosphate synthase
ECU03_1000	hypothetical protein
ECU09_1240	Ribosomal RNA-processing protein 40
ECU05_1470	hypothetical protein
ECU08_1040	40S ribosomal protein S25
ECU07_0060	UPF0328 protein ECU07_0060
ECU08_0480	hypothetical protein
ECU06_0270	Trafficking protein particle complex subunit
ECU01_0200	Probable ABC transporter ECU01_0200/ECU01_1410
ECU10_1070	Uncharacterized protein ECU10_1070
ECU08_1720	hypothetical protein
ECU09_0270	TBP-associated factor 4
ECU02_0300	J domain-containing protein
ECU09_0380	hypothetical protein
ECU07_0250	hypothetical protein
ECU08_1860	Methyltransf_25 domain-containing protein
ECU04_0880	hypothetical protein
ECU09_2040	Uncharacterized protein ECU07_0030/ECU09_2040
ECU03_0270	Coatomer subunit gamma
ECU03_0860	hypothetical protein
ECU10_1690	Phosphopyruvate hydratase
ECU05_0630	Protein kinase domain-containing protein
ECU01_0830	ZINC FINGER PROTEIN
ECU07_1390	hypothetical protein
ECU11_0585	Chromatin modification-related protein EAF6
ECU01_0420	Spore wall protein 12
ECU02_1050	Nascent polypeptide-associated complex subunit alpha
ECU11_1770	Cysteine desulfurase%2C mitosomal
ECU10_0660	Histone acetyltransferase
ECU04_0230	C2H2-type domain-containing protein
ECU08_0575	ECU08_0575 protein
ECU02_0720	Histone H2A
ECU11_1940	Brix domain-containing protein
ECU03_0180	Chromo domain-containing protein
ECU01_0410	hypothetical protein
ECU10_0990	60S ribosomal protein L27a
ECU02_0590	hypothetical protein
ECU10_1500	putative protein with Ca-binding domain
ECU06_1100	Transcription initiation factor IIB
ECU02_0010	Uncharacterized protein ECU02_0010/ECU04_1710
ECU03_0490	DNA-directed RNA polymerase subunit
ECU11_1510	ZINC TRANSPORTER
ECU09_1120	hypothetical protein
ECU11_0370	DNA-directed RNA polymerase subunit beta
ECU05_0410	DEVELOPMENTALLY REGULATED GTP-BINDING PROTEIN (GTP1/OBG FAMILY)
ECU06_0740	Homeobox protein HD-12
ECU02_1180	hypothetical protein
ECU01_1580	Uncharacterized protein ECU01_0030
ECU10_0700	TRANSLATION INITIATION FACTOR EIF-2B EPSILON SUBUNIT
ECU04_1310	60S ribosomal protein L32
ECU10_1695	hypothetical protein
ECU03_1330	AAA domain-containing protein
ECU10_1790	Glycine--tRNA ligase
ECU07_1350	ATP-synt_C domain-containing protein
ECU04_1605	ECU04_1605 protein
ECU03_0690	hypothetical protein
ECU11_0020	UPF0328 protein ECU06_0030/ECU06_1690/ECU11_0020
ECU01_1150	Similarity to CYCLIN K (C-TYPE)
ECU06_0155	ECU06_0155 protein
ECU05_1030	Proliferating cell nuclear antigen
ECU07_1480	hypothetical protein
ECU04_1680	hypothetical protein
ECU03_0570	similarity to HYPOTHETICAL PROTEIN YANE_SCHPO
ECU01_0250	Uncharacterized protein ECU01_0250
ECU07_0500	hypothetical protein
ECU04_0360	hypothetical protein
ECU09_1600	Nop domain-containing protein
ECU11_1570	CHY-type domain-containing protein
ECU08_1425	ECU08_1425 protein
ECU10_1230	ABC TRANSPORTER
ECU04_0690	VACUOLAR PROTEIN SORTING-ASSOCIATED PROTEIN
ECU01_0555	ECU01_0555 protein
ECU01_1350	Protein-S-isoprenylcysteine O-methyltransferase
ECU04_1500	REGULATOR OF CHROMOSOME CONDENSATION
ECU08_1840	Diphthamide synthase
ECU08_0590	hypothetical protein
ECU09_0690	PPPDE domain-containing protein
ECU10_0860	hypothetical protein
ECU11_1880	MFS_1_like domain-containing protein
ECU08_0290	DNA helicase
ECU08_0610	CONDENSIN-LIKE PROTEIN
ECU09_0220	hypothetical protein
ECU08_0950	ECU08_0950 protein
ECU06_1460	Putative VACUOLAR PROTEIN SORTING-ASSOCIATED PROTEIN
ECU07_0120	hypothetical protein
ECU03_0820	Tubulin beta chain
ECU08_0430	hypothetical protein
ECU10_1040	V-type proton ATPase subunit B
ECU02_1040	hypothetical protein
ECU04_1410	hypothetical protein
ECU11_0375	Ubiquitin-like domain-containing protein
ECU11_1530	hypothetical protein
ECU08_0710	hypothetical protein
ECU09_1810	hypothetical protein
ECU09_1580	hypothetical protein
ECU11_2035	ECU11_2035 protein
ECU08_1960	Probable cell division control protein 7 homolog 1
ECU11_0240	Importin N-terminal domain-containing protein
ECU08_1200	hypothetical protein
ECU07_0720	hypothetical protein
ECU07_0940	TLDc domain-containing protein
ECU06_0750	ZINC PROTEASE (INSULINASE FAMILY)
ECU02_0130	hypothetical protein
ECU10_0010	UPF0329 protein ECU07_1890/ECU10_0010
ECU11_1300	hypothetical protein
ECU10_1080	DNA polymerase alpha subunit B
ECU08_0100	hypothetical protein
ECU11_0200	hypothetical protein
ECU07_1240	hypothetical protein
ECU03_0640	hypothetical protein
ECU01_1410	Probable ABC transporter ECU01_0200/ECU01_1410
ECU01_0010	Uncharacterized protein ECU01_0010/ECU01_1600/ECU04_0010
ECU06_0435	ECU06_0435 protein
ECU09_1450	RAS-RELATED PROTEIN GTP-BINDING PROTEIN
ECU09_0750	hypothetical protein
ECU08_1110	Guanine nucleotide-binding protein subunit beta-like protein
ECU04_1560	GTP-binding nuclear protein GSP1
ECU01_0295	ECU01_0295 protein
ECU02_1460	similarity to HYPOTHETICAL PROTEIN YNE9_yeast
ECU02_0785	ECU02_0785 protein
ECU04_0320	Lipase_3 domain-containing protein
ECU01_1030	EB1 C-terminal domain-containing protein
ECU03_0400	hypothetical protein
ECU07_1610	tRNA-dihydrouridine synthase
ECU06_1050	hypothetical protein
ECU09_0360	similarity to HYPOTHETICAL PROTEINS (UPF0129 family)
ECU10_0650	hypothetical protein
ECU09_0590	hypothetical protein
ECU05_0340	Endoplasmic reticulum transmembrane protein
ECU02_0940	Pyr_redox_2 domain-containing protein
ECU02_1570	UPF0328 protein ECU01_0070/ECU01_1540/ECU02_1570/ECU04_0080/ECU08_2100
ECU04_1160	Pyruvate dehydrogenase E1 component subunit beta
ECU09_1880	Uncharacterized protein ECU09_1880
ECU02_0350	8TM_micro domain-containing protein
ECU02_0100	Heat shock protein ECU02_0100
ECU06_0280	Probable leucine--tRNA ligase%2C cytoplasmic
ECU03_1320	hypothetical protein
ECU04_1630	Uncharacterized membrane protein ECU07_0530
ECU06_1640	hypothetical protein
ECU11_1860	hypothetical protein
ECU08_1820	hypothetical protein
ECU08_0810	hypothetical protein
ECU10_0300	O-acyltransferase
ECU03_1535	ECU03_1535 protein
ECU06_1000	putative zinc finger protein
ECU11_0380	hypothetical protein
ECU09_1700	similar to HYPOTHETICAL PROTEIN YNV2_yeast
ECU10_1050	ATP-binding domain
ECU09_1005	Diphthamide biosynthesis protein 3
ECU08_2120	UPF0328 protein ECU02_1590/ECU04_0060/ECU08_2120
ECU04_0520	hypothetical protein
ECU03_0870	hypothetical protein
ECU07_1200	hypothetical protein
ECU11_0960	Probable CTD kinase subunit alpha homolog
ECU07_1850	UPF0329 protein ECU07_1850/ECU10_0050
ECU02_1350	E2F_TDP domain-containing protein
ECU05_0770	hypothetical protein
ECU03_0680	6-PHOSPHOFRUCTOKINASE (PHOSPHOFRUCTO-1-KINASE ISOENZYME A)
ECU09_1290	hypothetical protein
ECU05_0810	SER/THR PROTEIN PHOSPHATASE PP2-A REGULATORY SUBUNIT B
ECU10_1340	KH_dom_type_1 domain-containing protein
ECU01_0820	Spore wall and anchoring disk complex protein EnP1
ECU06_1150	Zinc finger C2H2 protein ECU06_1150
ECU06_0710	hypothetical protein
ECU08_2100	UPF0328 protein ECU01_0070/ECU01_1540/ECU02_1570/ECU04_0080/ECU08_2100
ECU06_1270	HIGH MOBILITY GROUP PROTEIN
ECU05_1130	similarity to HYPOTHETICAL PROTEIN YM14_CAEEL
ECU03_0070	hypothetical protein
ECU06_1470	KH domain-containing protein
ECU07_0190	AAA domain-containing protein
ECU09_0100	E3 ubiquitin protein ligase
ECU03_0450	hypothetical protein
ECU05_0980	DOC domain-containing protein
ECU03_0990	SCP domain-containing protein
ECU01_0370	Myb-like domain-containing protein
ECU08_0750	hypothetical protein
ECU04_1435	ECU04_1435 protein
ECU03_0560	Rab-GAP TBC domain-containing protein
ECU09_1980	hypothetical protein
ECU11_1240	hypothetical protein
ECU09_0090	TRANSCRIPTION INITIATION FACTOR TFIID 150kDa SUBUNIT
ECU06_1250	ATP-dependent RNA helicase DBP10
ECU02_0780	Transcription initiation factor IIF subunit beta
ECU09_0530	hypothetical protein
ECU08_0800	Signal recognition particle SEC65 subunit
ECU04_1040	hypothetical protein
ECU02_0060	UPF0329 protein ECU02_0060
ECU11_2070	Sm domain-containing protein
ECU02_1400	WD_REPEATS_REGION domain-containing protein
ECU11_0250	hypothetical protein
ECU03_0890	similarity to DNA DAMAGE-RESPONSE PROTEIN
ECU03_1110	hypothetical protein
ECU10_1190	hypothetical protein
ECU11_0590	RNA_pol_L_2 domain-containing protein
ECU08_0940	hypothetical protein
ECU05_0070	Lysophospholipase NTE1
ECU02_0190	hypothetical protein
ECU02_1150	DNA helicase
ECU02_0030	hypothetical protein
ECU06_1210	hypothetical protein
ECU10_0740	hypothetical protein
ECU10_1440	acidPPc domain-containing protein
ECU01_0230	UBA domain-containing protein
ECU07_1860	UPF0329 protein ECU07_1860/ECU10_0040/ECU11_2100
ECU11_0550	Arf-GAP domain-containing protein
ECU05_0360	eRF1_1 domain-containing protein
ECU01_1190	C2H2-type domain-containing protein
ECU08_1560	Bromo domain-containing protein
ECU04_1005	60S ribosomal protein L29
ECU08_2050	hypothetical protein
ECU07_0700	Translocation protein SEC62
ECU11_2060	60S ribosomal protein L35-2
ECU05_0150	hypothetical protein
ECU07_1230	EF-hand domain-containing protein
ECU10_0720	Palmitoyltransferase
ECU02_1100	Heat shock protein 90
ECU03_0770	Ubiquitin-like domain-containing protein
ECU04_0070	Uncharacterized protein ECU01_0060/ECU01_1550/ECU02_1580/ECU04_0070/ ECU08_2110
ECU03_0480	SF3A2 domain-containing protein
ECU05_0820	t-SNARE coiled-coil homology domain-containing protein
ECU04_1240	Ribosome production factor 2 homolog
ECU03_0360	U6 snRNA-associated Sm-like protein LSm4
ECU11_2030	STE12 TRANSCRIPTION FACTOR
ECU04_1660	UPF0329 protein ECU04_1660
ECU04_1120	Similarity to UDP-Gal beta GlcNAC beta 1%2C4 galactosyltransferase
ECU11_0890	Probable methionine--tRNA ligase%2C cytoplasmic
ECU04_1015	40S RIBOSOMAL PROTEIN S27
ECU02_0710	WD_REPEATS_REGION domain-containing protein
ECU11_1110	hypothetical protein
ECU11_0770	Probable CCR4-Not complex 3'-5'-exoribonuclease subunit Ccr4
ECU04_1250	WD_REPEATS_REGION domain-containing protein
ECU04_1100	Elongation factor 1-alpha
ECU04_0715	ECU04_0715 protein
ECU06_1040	Ribulose-phosphate 3-epimerase
ECU06_0510	T-COMPLEX PROTEIN 1 ZETA SUBUNIT
ECU07_1710	VPS9 domain-containing protein
ECU01_0545	Sm domain-containing protein
ECU01_1260	EF-hand domain-containing protein
ECU06_0480	hypothetical protein
ECU03_1150	Calponin-homology (CH) domain-containing protein
ECU06_0870	J domain-containing protein
ECU06_0360	OB domain-containing protein
ECU11_0505	ECU11_0505 protein
ECU11_0580	hypothetical protein
ECU04_0850	DNA replication licensing factor MCM2
ECU11_1065	ECU11_1065 protein
ECU01_1070	hypothetical protein
ECU04_0580	Probable lysine--tRNA ligase%2C cytoplasmic
ECU01_1340	hypothetical protein
ECU03_0470	GTP-BINDING ADP RIBOSYLATION FACTOR (ARF)
ECU08_0330	Guanine nucleotide-binding protein-like 3-like protein
ECU06_1330	hypothetical protein
ECU10_0620	Probable importin ECU10_0620
ECU04_1170	S1-like domain-containing protein
ECU07_1630	Nudix hydrolase domain-containing protein
ECU06_0160	hypothetical protein
ECU09_0855	ECU09_0855 protein
ECU01_0060	Uncharacterized protein ECU01_0060/ECU01_1550/ECU02_1580/ECU04_0070/ ECU08_2110
ECU10_1090	PHD-type domain-containing protein
ECU09_1680	Probable asparagine--tRNA ligase%2C cytoplasmic
ECU02_1280	hypothetical protein
ECU09_0625	RING-type domain-containing protein
ECU02_0830	hypothetical protein
ECU03_1420	hypothetical protein
ECU08_1070	40S ribosomal protein S25
ECU03_1140	Uncharacterized protein ECU03_1140
ECU05_0450	CBFD_NFYB_HMF domain-containing protein
ECU03_1115	ECU03_1115 protein
ECU09_1190	Aa_trans domain-containing protein
ECU02_0540	MHD domain-containing protein
ECU02_0450	General transcription factor IIA subunit 2
ECU09_1050	hypothetical protein
ECU08_0310	Similarity TO GUANINE NUCLEOTIDE BINDING PROTEIN BETA SUBUNIT GBLP_DROME
ECU06_0950	Similarity to DOLICHYL-PHOSPHATE MANNOSE PROTEIN MANNOSYLTRANSFERASE
ECU09_1620	Similarity to DNA repair protein RAD2
ECU11_1990	UBC core domain-containing protein
ECU01_1330	Transcription initiation factor TFIID subunit 9
ECU05_1600	Uncharacterized protein ECU05_1600/ECU11_0130
ECU02_0520	T-complex protein 1 subunit delta
ECU06_1490	Deoxyhypusine hydroxylase
ECU05_1200	hypothetical protein
ECU03_0970	hypothetical protein
ECU04_0300	PROTEIN TYROSINE PHOSPHATASE
ECU09_1070	GPI-anchor transamidase
ECU06_0310	TGT domain-containing protein
ECU06_0605	ECU06_0605 protein
ECU04_0290	hypothetical protein
ECU05_0750	Ca binding domain
ECU05_0185	ECU05_0185 protein
ECU08_0460	Similarity to DNA damage tolerance protein RAD31 RA31_SCHPO
ECU02_0390	XPGI domain-containing protein
ECU03_1060	hypothetical protein
ECU08_1050	Similarity to D-ribose transport binding protein
ECU01_0990	hypothetical protein
ECU08_0690	POLY(A)+ RNA EXPORT PROTEIN
ECU02_0870	Mcl1_mid domain-containing protein
ECU04_0490	HECT domain-containing protein
ECU05_0050	UPF0328 protein ECU05_0050
ECU10_0540	ADP%2CATP carrier protein 2
ECU10_1880	Uncharacterized protein ECU01_0040
ECU03_1300	hypothetical protein
ECU04_0280	C1_4 domain-containing protein
ECU05_0700	Spindle pole body component
ECU08_1740	hypothetical protein
