### Query	Predictor	RCSB Code	Chain	RMSD	nAlign	GDT

### ECU01_0010
ECU01_0220-m1	RAPTORX	2J0N	B	3.05	111	0.365
ECU01_0220-m1	ALPHAFOLD	4Q25	A	2.63	112	0.347
ECU01_0220-m1	ALPHAFOLD	5YS3	A	3.61	121	0.327
ECU01_0220-m1	ALPHAFOLD	1T72	G	3.23	112	0.321

### ECU01_0230
ECU01_0230-m1	ALPHAFOLD	4XA3	B	2.35	100	0.486
ECU01_0230-m1	ALPHAFOLD	3O0Z	A	2.56	107	0.478
ECU01_0230-m1	ALPHAFOLD	2OCY	A	2.53	106	0.488
ECU01_0230-m1	ALPHAFOLD	4CPC	B	2.87	106	0.486
ECU01_0230-m1	ALPHAFOLD	4CPC	C	2.09	88	0.441
ECU01_0230-m1	RAPTORX	5IFS	C	2.32	77	0.320
ECU01_0230-m1	RAPTORX	6OAT	B	3.19	82	0.323
ECU01_0230-m1	RAPTORX	5TLA	G	3.11	77	0.339
ECU01_0230-m1	RAPTORX	6OAT	D	3.03	80	0.319
ECU01_0230-m1	RAPTORX	5IFW	A	2.50	78	0.311

### ECU01_0240
ECU01_0240-m1	ALPHAFOLD	3MBD	A	0.47	336	0.992
ECU01_0240-m1	ALPHAFOLD	3QRH	A	0.46	336	0.990
ECU01_0240-m1	ALPHAFOLD	3MBF	A	0.57	336	0.978
ECU01_0240-m1	RAPTORX	1EPX	C	0.31	338	0.996
ECU01_0240-m1	RAPTORX	1EPX	A	0.31	338	0.996
ECU01_0240-m1	RAPTORX	1EPX	B	0.31	338	0.996
ECU01_0240-m1	RAPTORX	1EPX	D	0.31	338	0.996
ECU01_0240-m1	RAPTORX	2QAP	A	0.30	338	0.996
ECU01_0240-m1	ALPHAFOLD	3BV4	A	0.85	333	0.928
ECU01_0240-m1	ALPHAFOLD	1XFB	F	0.88	333	0.924

### ECU01_0250
ECU01_0250-m1	RAPTORX	5ZRT	A	1.22	152	0.844
ECU01_0250-m1	RAPTORX	5ZRT	B	1.30	152	0.819
ECU01_0250-m1	RAPTORX	5ZLQ	A	1.52	152	0.794
ECU01_0250-m1	RAPTORX	1ZSO	B	1.68	144	0.742
ECU01_0250-m1	RAPTORX	1ZSO	A	1.78	144	0.740
ECU01_0250-m1	ALPHAFOLD	5ZLQ	A	2.23	148	0.670
ECU01_0250-m1	ALPHAFOLD	5ZRT	B	2.34	148	0.616
ECU01_0250-m1	ALPHAFOLD	1ZSO	A	2.42	144	0.649
ECU01_0250-m1	ALPHAFOLD	5ZRT	A	2.38	148	0.623
ECU01_0250-m1	ALPHAFOLD	1ZSO	B	2.44	144	0.628

### ECU01_0260
ECU01_0260-m1	RAPTORX	4D07	A	1.10	86	0.891
ECU01_0260-m1	RAPTORX	1RE6	A	2.00	96	0.618
ECU01_0260-m1	RAPTORX	1RE6	B	1.69	94	0.616
ECU01_0260-m1	ALPHAFOLD	4D07	A	1.96	87	0.747
ECU01_0260-m1	RAPTORX	5FWZ	A	1.62	86	0.727
ECU01_0260-m1	RAPTORX	1PWK	A	1.62	95	0.588
ECU01_0260-m1	ALPHAFOLD	1RE6	B	1.98	92	0.588
ECU01_0260-m1	ALPHAFOLD	1RE6	A	2.02	91	0.584
ECU01_0260-m1	ALPHAFOLD	6ZYX	K	1.88	83	0.695
ECU01_0260-m1	ALPHAFOLD	6ZYW	K	1.88	83	0.695

### ECU01_0290
ECU01_0290-m1	RAPTORX	2V1N	A	1.85	105	0.625
ECU01_0290-m1	ALPHAFOLD	2KPM	A	2.52	85	0.404
ECU01_0290-m1	ALPHAFOLD	5MEB	A	2.24	71	0.475
ECU01_0290-m1	RAPTORX	3A4C	A	2.51	75	0.458
ECU01_0290-m1	ALPHAFOLD	2V1N	A	2.76	90	0.360
ECU01_0290-m1	RAPTORX	5ZUZ	A	2.61	84	0.383
ECU01_0290-m1	ALPHAFOLD	5MEB	B	2.39	71	0.476
ECU01_0290-m1	ALPHAFOLD	5ZUZ	A	3.01	92	0.378
ECU01_0290-m1	RAPTORX	3ELK	A	2.62	70	0.436
ECU01_0290-m1	RAPTORX	6FAQ	B	2.89	77	0.450

### ECU01_0295
ECU01_0295-m1	ALPHAFOLD	4BL6	C	1.94	78	0.686
ECU01_0295-m1	ALPHAFOLD	1JTH	C	1.18	66	0.837
ECU01_0295-m1	ALPHAFOLD	4BL6	D	2.20	79	0.657
ECU01_0295-m1	ALPHAFOLD	1JTH	B	1.23	65	0.869
ECU01_0295-m1	ALPHAFOLD	4WY4	A	1.31	64	0.844
ECU01_0295-m1	RAPTORX	2M6U	A	2.48	90	0.684
ECU01_0295-m1	RAPTORX	4K12	B	2.31	75	0.643
ECU01_0295-m1	RAPTORX	2MI7	A	2.89	89	0.613
ECU01_0295-m1	RAPTORX	2LD3	A	2.50	88	0.632
ECU01_0295-m1	RAPTORX	5J0L	E	2.04	74	0.582

### ECU01_0310
ECU01_0310-m1	ALPHAFOLD	4V7F	B	1.22	235	0.908
ECU01_0310-m1	ALPHAFOLD	1VQL	A	1.33	228	0.852
ECU01_0310-m1	ALPHAFOLD	1VQM	A	1.33	228	0.851
ECU01_0310-m1	ALPHAFOLD	1VQ8	A	1.34	228	0.844
ECU01_0310-m1	ALPHAFOLD	1VQK	A	1.34	228	0.849
ECU01_0310-m1	RAPTORX	4V7F	B	1.90	204	0.752
ECU01_0310-m1	RAPTORX	1NJI	C	1.90	195	0.690
ECU01_0310-m1	RAPTORX	1KC8	C	1.90	195	0.688
ECU01_0310-m1	RAPTORX	1KD1	C	1.90	195	0.688
ECU01_0310-m1	RAPTORX	1K8A	C	1.90	195	0.690

### ECU01_0320
ECU01_0320-m1	RAPTORX	1QBZ	B	2.42	94	0.513
ECU01_0320-m1	RAPTORX	1QBZ	C	2.85	94	0.481
ECU01_0320-m1	RAPTORX	1ENV	A	2.72	92	0.504
ECU01_0320-m1	RAPTORX	1QCE	B	3.12	118	0.441
ECU01_0320-m1	RAPTORX	1QCE	A	3.11	118	0.438
ECU01_0320-m1	ALPHAFOLD	1OXZ	A	2.91	71	0.345
ECU01_0320-m1	ALPHAFOLD	1NAF	A	3.44	70	0.365
ECU01_0320-m1	ALPHAFOLD	5C3L	C	2.72	62	0.371
ECU01_0320-m1	ALPHAFOLD	3LBX	A	2.57	66	0.309
ECU01_0320-m1	ALPHAFOLD	6NUW	X	2.82	63	0.361

### ECU01_0340
ECU01_0340-m1	RAPTORX	1TA0	A	0.68	164	0.879
ECU01_0340-m1	RAPTORX	1T9Z	A	0.69	161	0.879
ECU01_0340-m1	RAPTORX	6DU3	A	0.81	165	0.871
ECU01_0340-m1	RAPTORX	3L0Y	A	0.86	165	0.869
ECU01_0340-m1	RAPTORX	4YH1	A	0.87	165	0.872
ECU01_0340-m1	ALPHAFOLD	2HHL	D	2.01	148	0.654
ECU01_0340-m1	ALPHAFOLD	4YH1	B	1.98	149	0.645
ECU01_0340-m1	ALPHAFOLD	4YGY	B	1.98	149	0.640
ECU01_0340-m1	ALPHAFOLD	3L0Y	B	1.98	149	0.647
ECU01_0340-m1	ALPHAFOLD	1TA0	A	1.93	148	0.625

### ECU01_0350
ECU01_0350-m1	RAPTORX	6G0L	W	2.60	619	0.475
ECU01_0350-m1	RAPTORX	6FTX	W	2.60	619	0.475
ECU01_0350-m1	ALPHAFOLD	6G0L	W	2.27	561	0.443
ECU01_0350-m1	ALPHAFOLD	6FTX	W	2.27	561	0.443

### ECU01_0360
ECU01_0360-m1	RAPTORX	5Z1G	B	0.87	192	0.950
ECU01_0360-m1	RAPTORX	5Z1G	D	0.76	192	0.949
ECU01_0360-m1	RAPTORX	6EM5	A	0.94	182	0.870
ECU01_0360-m1	RAPTORX	5Z3G	a	1.21	193	0.881
ECU01_0360-m1	ALPHAFOLD	6EM5	A	1.50	181	0.772
ECU01_0360-m1	ALPHAFOLD	5Z1G	D	1.57	185	0.804
ECU01_0360-m1	ALPHAFOLD	5Z1G	B	1.57	185	0.812
ECU01_0360-m1	RAPTORX	6C0F	b	1.44	193	0.851
ECU01_0360-m1	ALPHAFOLD	5Z3G	a	1.58	184	0.765
ECU01_0360-m1	ALPHAFOLD	6C0F	b	1.83	185	0.747

### ECU01_0380
ECU01_0380-m1	RAPTORX	4CRU	B	0.23	269	0.995
ECU01_0380-m1	RAPTORX	4CT6	B	0.34	269	0.996
ECU01_0380-m1	RAPTORX	4CT7	B	0.29	269	0.996
ECU01_0380-m1	RAPTORX	4CRV	B	0.36	269	0.988
ECU01_0380-m1	RAPTORX	5ONB	A	0.45	269	0.994
ECU01_0380-m1	ALPHAFOLD	5ONA	E	1.66	266	0.772
ECU01_0380-m1	ALPHAFOLD	5ONB	E	1.55	259	0.795
ECU01_0380-m1	ALPHAFOLD	5ONA	B	1.76	268	0.772
ECU01_0380-m1	ALPHAFOLD	6HON	A	1.61	261	0.776
ECU01_0380-m1	ALPHAFOLD	5LSW	A	1.56	259	0.775

### ECU01_0390
ECU01_0390-m1	RAPTORX	6DS9	A	1.99	84	0.651
ECU01_0390-m1	RAPTORX	5AQQ	F	2.36	88	0.584
ECU01_0390-m1	RAPTORX	5AQQ	B	2.28	87	0.575
ECU01_0390-m1	RAPTORX	2LRL	C	2.53	102	0.498
ECU01_0390-m1	RAPTORX	4L8I	B	2.04	87	0.576
ECU01_0390-m1	ALPHAFOLD	1LJ2	A	3.10	70	0.406
ECU01_0390-m1	ALPHAFOLD	1LJ2	B	2.89	68	0.382
ECU01_0390-m1	ALPHAFOLD	3O2B	C	3.25	73	0.376
ECU01_0390-m1	ALPHAFOLD	2WA8	C	3.33	73	0.381
ECU01_0390-m1	ALPHAFOLD	5AJ3	h	3.37	69	0.396

### ECU01_0400
ECU01_0400-m1	RAPTORX	3RKO	M	1.83	367	0.709
ECU01_0400-m1	RAPTORX	3RKO	C	1.83	367	0.709
ECU01_0400-m1	RAPTORX	6RFS	4	2.18	360	0.638
ECU01_0400-m1	RAPTORX	6RFR	4	2.13	358	0.639
ECU01_0400-m1	RAPTORX	6RFQ	4	2.16	359	0.645
ECU01_0400-m1	ALPHAFOLD	4C9Q	B	3.36	171	0.314
ECU01_0400-m1	ALPHAFOLD	4C9Q	A	3.35	170	0.316
ECU01_0400-m1	ALPHAFOLD	2C3E	A	3.31	155	0.282
ECU01_0400-m1	ALPHAFOLD	1OKC	A	3.42	157	0.283

### ECU01_0410
ECU01_0410-m1	RAPTORX	5OT4	D	1.59	574	0.725
ECU01_0410-m1	RAPTORX	5OT4	A	1.76	585	0.727
ECU01_0410-m1	RAPTORX	5OT4	C	1.87	509	0.582
ECU01_0410-m1	RAPTORX	5OT4	B	2.47	532	0.549

### ECU01_0420
ECU01_0420-m1	RAPTORX	2C08	A	2.28	176	0.617
ECU01_0420-m1	RAPTORX	1ZWW	A	2.25	177	0.616
ECU01_0420-m1	RAPTORX	1I49	A	2.19	175	0.611
ECU01_0420-m1	RAPTORX	4DCN	C	2.24	174	0.620
ECU01_0420-m1	RAPTORX	4DCN	D	2.32	176	0.599
ECU01_0420-m1	ALPHAFOLD	2D4C	A	2.24	181	0.547
ECU01_0420-m1	ALPHAFOLD	2D4C	B	2.51	183	0.519
ECU01_0420-m1	ALPHAFOLD	1WDZ	A	2.40	172	0.497
ECU01_0420-m1	ALPHAFOLD	2D4C	D	2.57	173	0.499
ECU01_0420-m1	ALPHAFOLD	3OK8	A	2.66	174	0.502

### ECU01_0440
ECU01_0440-m1	ALPHAFOLD	5WME	C	1.99	78	0.610
ECU01_0440-m1	ALPHAFOLD	5CJ1	F	1.95	77	0.590
ECU01_0440-m1	ALPHAFOLD	5CJ1	C	2.08	78	0.577
ECU01_0440-m1	ALPHAFOLD	5CJ1	H	2.00	76	0.581
ECU01_0440-m1	ALPHAFOLD	2WTY	B	1.94	74	0.660
ECU01_0440-m1	RAPTORX	2LM9	A	3.12	92	0.448
ECU01_0440-m1	RAPTORX	4CQI	A	2.85	82	0.481
ECU01_0440-m1	RAPTORX	1QSD	A	3.15	82	0.456
ECU01_0440-m1	RAPTORX	1QSD	B	3.04	80	0.458
ECU01_0440-m1	RAPTORX	4DND	A	2.62	73	0.508

### ECU01_0450
ECU01_0450-m1	ALPHAFOLD	2QSG	A	3.36	298	0.400
ECU01_0450-m1	ALPHAFOLD	6CFI	A	3.40	302	0.396
ECU01_0450-m1	ALPHAFOLD	4YIR	A	3.41	303	0.397
ECU01_0450-m1	ALPHAFOLD	6UIN	A	3.33	289	0.393
ECU01_0450-m1	ALPHAFOLD	2QSH	A	3.07	280	0.405
ECU01_0450-m1	RAPTORX	2QSF	A	2.21	210	0.396
ECU01_0450-m1	RAPTORX	2QSH	A	2.54	217	0.410
ECU01_0450-m1	RAPTORX	4YIR	A	2.53	218	0.395
ECU01_0450-m1	RAPTORX	2QSG	A	2.58	218	0.405
ECU01_0450-m1	RAPTORX	6CFI	A	2.56	215	0.391

### ECU01_0460
ECU01_0460-m1	RAPTORX	5NW4	V	0.20	370	0.998
ECU01_0460-m1	RAPTORX	5ADX	H	0.20	370	0.998
ECU01_0460-m1	RAPTORX	5AFU	H	0.20	370	0.998
ECU01_0460-m1	RAPTORX	6F1T	H	0.49	370	0.990
ECU01_0460-m1	RAPTORX	6DJN	D	0.81	369	0.964
ECU01_0460-m1	ALPHAFOLD	2VYP	A	0.71	357	0.965
ECU01_0460-m1	ALPHAFOLD	7C2F	C	0.82	360	0.957
ECU01_0460-m1	ALPHAFOLD	4B1W	B	0.82	361	0.952
ECU01_0460-m1	ALPHAFOLD	1T44	A	0.78	358	0.963
ECU01_0460-m1	ALPHAFOLD	2FF6	A	0.82	360	0.957

### ECU01_0470
ECU01_0470-m1	RAPTORX	4MNU	A	2.43	80	0.362
ECU01_0470-m1	RAPTORX	3BJ6	B	2.37	76	0.367
ECU01_0470-m1	RAPTORX	3BJ6	A	2.37	76	0.364
ECU01_0470-m1	RAPTORX	5ERI	A	2.68	81	0.328
ECU01_0470-m1	ALPHAFOLD	4MNU	A	2.83	81	0.344
ECU01_0470-m1	ALPHAFOLD	3BJ6	B	2.86	80	0.351
ECU01_0470-m1	ALPHAFOLD	3BJ6	A	2.89	80	0.351
ECU01_0470-m1	RAPTORX	3ZPL	F	2.79	80	0.326
ECU01_0470-m1	ALPHAFOLD	4QI2	C	3.04	80	0.345
ECU01_0470-m1	ALPHAFOLD	6TQA	A	2.92	80	0.342

### ECU01_0480
ECU01_0480-m1	RAPTORX	3OII	A	1.01	181	0.926
ECU01_0480-m1	RAPTORX	3OIN	A	0.98	180	0.921
ECU01_0480-m1	RAPTORX	5JPQ	f	0.97	180	0.921
ECU01_0480-m1	RAPTORX	2V3J	A	0.90	175	0.913
ECU01_0480-m1	RAPTORX	5TZS	k	0.97	180	0.921
ECU01_0480-m1	ALPHAFOLD	5TZS	j	1.63	179	0.818
ECU01_0480-m1	ALPHAFOLD	5JPQ	e	1.63	179	0.817
ECU01_0480-m1	ALPHAFOLD	3OIJ	A	1.63	179	0.817
ECU01_0480-m1	ALPHAFOLD	3OII	A	1.60	179	0.837
ECU01_0480-m1	ALPHAFOLD	3OII	B	1.51	174	0.811

### ECU01_0490
ECU01_0490-m1	ALPHAFOLD	3U0C	A	2.13	114	0.578
ECU01_0490-m1	ALPHAFOLD	3U0C	B	2.03	112	0.584
ECU01_0490-m1	ALPHAFOLD	5WKQ	B	1.91	104	0.530
ECU01_0490-m1	ALPHAFOLD	5NEN	B	2.15	116	0.422
ECU01_0490-m1	ALPHAFOLD	5IJH	B	2.57	115	0.421
ECU01_0490-m1	RAPTORX	1CUN	B	2.49	103	0.354
ECU01_0490-m1	RAPTORX	1CUN	B			
ECU01_0490-m1	RAPTORX	1CUN	C	2.40	102	0.347
ECU01_0490-m1	RAPTORX	1CUN	C			
ECU01_0490-m1	RAPTORX	4FZS	A	3.26	112	0.299
ECU01_0490-m1	RAPTORX	6H2D	R	2.43	90	0.373
ECU01_0490-m1	RAPTORX	1CUN	A	2.48	100	0.331
ECU01_0490-m1	RAPTORX	1CUN	A			

### ECU01_0500
ECU01_0500-m1	ALPHAFOLD	4H63	F	1.38	127	0.835
ECU01_0500-m1	ALPHAFOLD	7NVR	a	1.98	136	0.727
ECU01_0500-m1	ALPHAFOLD	4V1O	S	2.14	133	0.701
ECU01_0500-m1	ALPHAFOLD	4V1O	S			
ECU01_0500-m1	ALPHAFOLD	5N9J	S	1.87	140	0.665
ECU01_0500-m1	ALPHAFOLD	7EMF	F	1.90	133	0.609
ECU01_0500-m1	RAPTORX	4H61	B	1.57	105	0.680
