### Query	Predictor	RCSB Code	Chain	sTMscore	TMscore	Dali_Z	SPscore	Length	RMSD	Seq_Id

### ECU01_0010
ECU01_0180-m1	ALPHAFOLD	6OJV	C	0.964	0.952	44.62	1.377	284	0.820	59.9
ECU01_0180-m1	ALPHAFOLD	5FCT	B	0.904	0.960	43.79	1.343	288	1.053	60.4

### ECU01_0190
ECU01_0190-m1	RAPTORX	5X3V	A	0.963	0.940	60.51	1.578	436	0.875	48.4
ECU01_0190-m1	RAPTORX	5X3V	B	0.949	0.933	58.15	1.562	433	0.812	48.7
ECU01_0190-m1	ALPHAFOLD	6CD1	D	0.926	0.941	55.76	1.508	443	1.372	50.8
ECU01_0190-m1	ALPHAFOLD	6CD0	C	0.880	0.932	51.00	1.415	447	1.983	48.3
ECU01_0190-m1	ALPHAFOLD	6CD1	A	0.934	0.951	55.94	1.508	449	1.468	49.9
ECU01_0190-m1	ALPHAFOLD	5YG4	A	0.944	0.938	56.32	1.505	442	1.390	43.7
ECU01_0190-m1	ALPHAFOLD	5YG4	C	0.947	0.937	56.34	1.507	441	1.311	43.8
ECU01_0190-m1	RAPTORX	6QVL	A	0.917	0.927	54.85	1.525	432	1.026	48.1
ECU01_0190-m1	RAPTORX	6QVG	A	0.906	0.928	54.87	1.526	433	1.044	48.3
ECU01_0190-m1	RAPTORX	4PVF	A	0.904	0.923	53.39	1.509	432	1.147	47.9

### ECU01_0200
ECU01_0200-m1	RAPTORX	4AYX	A	0.739	0.741	22.97	0.969	509	3.883	21.2
ECU01_0200-m1	RAPTORX	3ZDQ	A	0.729	0.735	23.03	0.975	501	3.729	21.8
ECU01_0200-m1	RAPTORX	5U1D	A	0.764	0.754	21.59	0.922	521	3.683	18.2
ECU01_0200-m1	RAPTORX	5MKK	B	0.719	0.730	22.37	1.019	489	3.385	21.3
ECU01_0200-m1	RAPTORX	4Q4J	B	0.720	0.738	22.34	0.981	499	3.461	19.8

### ECU01_0210
ECU01_0210-m1	RAPTORX	5X7V	D	0.694	0.741	14.83	0.832	158	2.574	22.8
ECU01_0210-m1	RAPTORX	2E50	B	0.710	0.696	17.74	0.790	153	2.944	19.0
ECU01_0210-m1	RAPTORX	2E50	A	0.695	0.732	18.36	0.850	153	2.648	17.6
ECU01_0210-m1	RAPTORX	2E50	P	0.684	0.733	18.10	0.863	152	2.604	17.8
ECU01_0210-m1	RAPTORX	2E50	Q	0.729	0.669	17.56	0.745	152	3.232	17.8
ECU01_0210-m1	ALPHAFOLD	5ZB5	A	0.600	0.644	11.80	0.633	155	3.996	18.1
ECU01_0210-m1	ALPHAFOLD	5ZB5	B	0.576	0.624	11.62	0.620	150	3.828	18.0
ECU01_0210-m1	ALPHAFOLD	5YPS	D	0.567	0.631	10.78	0.623	152	3.961	17.8
ECU01_0210-m1	ALPHAFOLD	5YPS	B	0.556	0.626	10.11	0.625	151	3.920	17.9
ECU01_0210-m1	ALPHAFOLD	5YPS	A	0.568	0.633	10.60	0.622	152	3.915	16.4

### ECU01_0220
ECU01_0220-m1	RAPTORX	2NCJ	A	0.379	0.393	-1.36	0.086	142	4.785	5.6
ECU01_0220-m1	RAPTORX	2V0X	B	0.380	0.360	2.29	0.406	123	4.005	4.1
ECU01_0220-m1	RAPTORX	2V0X	A	0.380	0.348	2.42	0.408	119	3.883	5.0
ECU01_0220-m1	ALPHAFOLD	2I0M	A	0.415	0.372	3.97	0.414	122	3.968	2.5
ECU01_0220-m1	RAPTORX	2JAA	B	0.382	0.302	1.94	0.370	108	4.220	3.7
ECU01_0220-m1	ALPHAFOLD	6Y7F	B	0.413	0.433	3.73	0.393	147	4.197	7.5
ECU01_0220-m1	RAPTORX	2J0N	B	0.403	0.326	3.96	0.419	107	3.621	5.6
ECU01_0220-m1	ALPHAFOLD	4Q25	A	0.406	0.366	3.93	0.409	118	3.832	2.5
ECU01_0220-m1	ALPHAFOLD	5YS3	A	0.292	0.238	0.53	0.293	85	4.192	5.9
ECU01_0220-m1	ALPHAFOLD	1T72	G	0.400	0.345	3.09	0.397	112	3.729	6.2

### ECU01_0230
ECU01_0230-m1	ALPHAFOLD	4XA3	B	0.543	0.392	2.98	0.550	100	3.158	11.0
ECU01_0230-m1	ALPHAFOLD	3O0Z	A	0.513	0.397	2.72	0.587	98	2.610	5.1
ECU01_0230-m1	ALPHAFOLD	2OCY	A	0.538	0.412	2.80	0.562	112	3.723	10.7
ECU01_0230-m1	ALPHAFOLD	4CPC	B	0.538	0.397	3.27	0.554	105	3.594	5.7
ECU01_0230-m1	ALPHAFOLD	4CPC	C	0.490	0.354	3.27	0.493	96	3.076	6.2
ECU01_0230-m1	RAPTORX	5IFS	C	0.321	0.312	1.59	0.481	83	3.860	13.3
ECU01_0230-m1	RAPTORX	6OAT	B	0.293	0.263	1.21	0.391	75	3.930	13.3
ECU01_0230-m1	RAPTORX	5TLA	G	0.287	0.240	0.47	0.454	66	3.690	16.7
ECU01_0230-m1	RAPTORX	6OAT	D	0.297	0.264	0.92	0.388	77	4.169	14.3
ECU01_0230-m1	RAPTORX	5IFW	A	0.324	0.317	1.72	0.468	84	3.918	13.1

### ECU01_0240
ECU01_0240-m1	ALPHAFOLD	3MBD	A	0.968	0.992	59.10	1.480	338	0.637	99.1
ECU01_0240-m1	ALPHAFOLD	3QRH	A	0.962	0.991	59.30	1.490	337	0.555	100.0
ECU01_0240-m1	ALPHAFOLD	3MBF	A	0.965	0.988	59.11	1.478	337	0.663	100.0
ECU01_0240-m1	RAPTORX	1EPX	C	0.970	0.998	61.37	1.501	338	0.340	35.2
ECU01_0240-m1	RAPTORX	1EPX	A	0.970	0.998	61.37	1.501	338	0.340	35.2
ECU01_0240-m1	RAPTORX	1EPX	B	0.970	0.998	61.37	1.501	338	0.340	35.2
ECU01_0240-m1	RAPTORX	1EPX	D	0.970	0.998	61.37	1.501	338	0.340	35.2
ECU01_0240-m1	RAPTORX	2QAP	A	0.969	0.997	61.41	1.494	338	0.379	34.9
ECU01_0240-m1	ALPHAFOLD	3BV4	A	0.928	0.970	54.09	1.417	335	1.103	38.2
ECU01_0240-m1	ALPHAFOLD	1XFB	F	0.930	0.969	53.58	1.416	334	1.016	40.7

### ECU01_0250
ECU01_0250-m1	RAPTORX	5ZRT	A	0.812	0.834	22.36	1.036	152	1.406	13.8
ECU01_0250-m1	RAPTORX	5ZRT	B	0.806	0.829	22.17	1.021	153	1.459	13.7
ECU01_0250-m1	RAPTORX	5ZLQ	A	0.806	0.814	22.31	1.005	152	1.584	13.8
ECU01_0250-m1	RAPTORX	1ZSO	B	0.747	0.760	17.07	0.921	148	2.170	12.8
ECU01_0250-m1	RAPTORX	1ZSO	A	0.740	0.749	16.89	0.908	148	2.239	12.8
ECU01_0250-m1	ALPHAFOLD	5ZLQ	A	0.712	0.729	14.59	0.832	149	2.499	12.8
ECU01_0250-m1	ALPHAFOLD	5ZRT	B	0.660	0.706	13.41	0.776	149	2.668	12.8
ECU01_0250-m1	ALPHAFOLD	1ZSO	A	0.660	0.677	12.48	0.759	146	2.978	15.1
ECU01_0250-m1	ALPHAFOLD	5ZRT	A	0.661	0.709	13.73	0.782	149	2.686	12.1
ECU01_0250-m1	ALPHAFOLD	1ZSO	B	0.648	0.681	12.63	0.751	148	3.081	14.9

### ECU01_0260
ECU01_0260-m1	RAPTORX	4D07	A	0.744	0.620	12.12	0.847	89	1.792	19.1
ECU01_0260-m1	RAPTORX	1RE6	A	0.602	0.614	1.83	0.167	90	2.095	18.9
ECU01_0260-m1	RAPTORX	1RE6	B	0.606	0.616	1.77	0.168	91	2.229	18.7
ECU01_0260-m1	ALPHAFOLD	4D07	A	0.613	0.540	7.82	0.717	90	2.764	17.8
ECU01_0260-m1	RAPTORX	5FWZ	A	0.691	0.567	10.67	0.785	87	2.011	12.6
ECU01_0260-m1	RAPTORX	1PWK	A	0.569	0.628	1.64	0.170	94	2.087	14.9
ECU01_0260-m1	ALPHAFOLD	1RE6	B	0.550	0.587	1.50	0.159	87	2.132	18.4
ECU01_0260-m1	ALPHAFOLD	1RE6	A	0.545	0.584	1.49	0.160	86	2.058	18.6
ECU01_0260-m1	ALPHAFOLD	6ZYX	K	0.668	0.527	8.77	0.745	85	2.270	16.5
ECU01_0260-m1	ALPHAFOLD	6ZYW	K	0.668	0.527	8.77	0.745	85	2.270	16.5

### ECU01_0290
ECU01_0290-m1	RAPTORX	2V1N	A	0.592	0.618	3.67	0.231	104	2.455	14.4
ECU01_0290-m1	ALPHAFOLD	2KPM	A	0.370	0.399	-0.52	0.116	73	2.858	6.8
ECU01_0290-m1	ALPHAFOLD	5MEB	A	0.418	0.357	2.39	0.478	72	3.116	4.2
ECU01_0290-m1	RAPTORX	3A4C	A	0.470	0.366	3.35	0.499	78	3.395	5.1
ECU01_0290-m1	ALPHAFOLD	2V1N	A	0.385	0.409	0.66	0.141	82	3.169	13.4
ECU01_0290-m1	RAPTORX	5ZUZ	A	0.370	0.411	-0.54	0.123	77	3.407	3.9
ECU01_0290-m1	ALPHAFOLD	5MEB	B	0.441	0.350	2.50	0.476	74	3.702	5.4
ECU01_0290-m1	ALPHAFOLD	5ZUZ	A	0.360	0.387	-0.60	0.117	72	2.838	4.2
ECU01_0290-m1	RAPTORX	3ELK	A	0.443	0.336	2.30	0.493	75	3.487	5.3
ECU01_0290-m1	RAPTORX	6FAQ	B	0.396	0.344	2.94	0.462	78	3.647	7.7

### ECU01_0295
ECU01_0295-m1	ALPHAFOLD	4BL6	C	0.683	0.642	5.13	0.708	78	2.170	3.8
ECU01_0295-m1	ALPHAFOLD	1JTH	C	0.802	0.625	4.94	0.779	66	1.356	3.0
ECU01_0295-m1	ALPHAFOLD	4BL6	D	0.674	0.634	4.95	0.700	78	2.163	3.8
ECU01_0295-m1	ALPHAFOLD	1JTH	B	0.826	0.619	5.09	0.817	62	0.939	9.7
ECU01_0295-m1	ALPHAFOLD	4WY4	A	0.766	0.588	4.44	0.763	64	1.447	7.8
ECU01_0295-m1	RAPTORX	2M6U	A	0.619	0.643	1.07	0.133	82	3.113	6.1
ECU01_0295-m1	RAPTORX	4K12	B	0.571	0.607	5.76	0.583	80	3.402	8.8
ECU01_0295-m1	RAPTORX	2MI7	A	0.537	0.561	-0.84	0.096	78	3.426	7.7
ECU01_0295-m1	RAPTORX	2LD3	A	0.576	0.606	1.32	0.119	82	3.196	8.5
ECU01_0295-m1	RAPTORX	5J0L	E	0.651	0.682	8.11	0.656	80	2.484	8.8

### ECU01_0310
ECU01_0310-m1	ALPHAFOLD	4V7F	B	0.880	0.937	25.83	1.206	234	1.633	41.5
ECU01_0310-m1	ALPHAFOLD	1VQL	A	0.851	0.899	24.18	1.164	227	1.635	39.6
ECU01_0310-m1	ALPHAFOLD	1VQM	A	0.851	0.899	24.20	1.164	227	1.639	39.6
ECU01_0310-m1	ALPHAFOLD	1VQ8	A	0.844	0.898	24.20	1.162	227	1.645	39.6
ECU01_0310-m1	ALPHAFOLD	1VQK	A	0.838	0.898	24.18	1.163	227	1.644	39.6
ECU01_0310-m1	RAPTORX	4V7F	B	0.758	0.800	25.70	0.890	227	2.996	41.4
ECU01_0310-m1	RAPTORX	1NJI	C	0.716	0.773	23.42	0.861	222	3.007	40.1
ECU01_0310-m1	RAPTORX	1KC8	C	0.716	0.775	23.42	0.866	222	2.982	40.1
ECU01_0310-m1	RAPTORX	1KD1	C	0.718	0.774	23.38	0.865	222	2.986	40.1
ECU01_0310-m1	RAPTORX	1K8A	C	0.716	0.775	23.37	0.866	222	2.980	40.1

### ECU01_0320
ECU01_0320-m1	RAPTORX	1QBZ	B	0.561	0.412	4.67	0.548	88	2.507	2.3
ECU01_0320-m1	RAPTORX	1QBZ	C	0.533	0.415	4.58	0.520	92	2.940	3.3
ECU01_0320-m1	RAPTORX	1ENV	A	0.574	0.431	5.10	0.569	94	2.874	8.5
ECU01_0320-m1	RAPTORX	1QCE	B	0.412	0.432	-1.01	0.081	88	2.842	4.5
ECU01_0320-m1	RAPTORX	1QCE	A	0.412	0.431	-1.01	0.081	88	2.845	4.5
ECU01_0320-m1	ALPHAFOLD	1OXZ	A	0.289	0.250	0.69	0.480	45	1.536	4.4
ECU01_0320-m1	ALPHAFOLD	1NAF	A	0.309	0.238	0.73	0.495	43	1.473	4.7
ECU01_0320-m1	ALPHAFOLD	5C3L	C	0.324	0.273	0.16	0.422	59	3.787	6.8
ECU01_0320-m1	ALPHAFOLD	3LBX	A	0.282	0.262	0.72	0.428	53	2.860	7.5
ECU01_0320-m1	ALPHAFOLD	6NUW	X	0.326	0.273	0.45	0.386	58	3.174	0.0

### ECU01_0340
ECU01_0340-m1	RAPTORX	1TA0	A	0.806	0.867	26.01	1.091	164	1.010	18.9
ECU01_0340-m1	RAPTORX	1T9Z	A	0.791	0.848	25.25	1.074	161	1.022	19.3
ECU01_0340-m1	RAPTORX	6DU3	A	0.831	0.867	26.30	1.086	165	1.097	18.8
ECU01_0340-m1	RAPTORX	3L0Y	A	0.836	0.865	26.19	1.083	165	1.125	19.4
ECU01_0340-m1	RAPTORX	4YH1	A	0.842	0.866	26.23	1.085	165	1.113	18.8
ECU01_0340-m1	ALPHAFOLD	2HHL	D	0.668	0.702	17.37	0.819	150	2.383	22.7
ECU01_0340-m1	ALPHAFOLD	4YH1	B	0.652	0.708	17.10	0.819	149	2.236	20.1
ECU01_0340-m1	ALPHAFOLD	4YGY	B	0.649	0.709	17.13	0.820	149	2.234	20.1
ECU01_0340-m1	ALPHAFOLD	3L0Y	B	0.651	0.705	17.05	0.820	148	2.235	20.3
ECU01_0340-m1	ALPHAFOLD	1TA0	A	0.638	0.705	16.48	0.810	149	2.297	20.1

### ECU01_0350
ECU01_0350-m1	RAPTORX	6G0L	W	0.645	0.488	17.94	0.793	713	4.655	36.0
ECU01_0350-m1	RAPTORX	6FTX	W	0.645	0.488	17.94	0.793	713	4.655	36.0
ECU01_0350-m1	ALPHAFOLD	6G0L	W	0.569	0.430	13.87	1.091	575	2.876	41.0
ECU01_0350-m1	ALPHAFOLD	6FTX	W	0.569	0.430	13.87	1.092	575	2.877	41.0

### ECU01_0360
ECU01_0360-m1	RAPTORX	5Z1G	B	0.929	0.963	33.74	1.193	193	1.066	29.5
ECU01_0360-m1	RAPTORX	5Z1G	D	0.930	0.964	33.43	1.194	193	1.038	29.5
ECU01_0360-m1	RAPTORX	6EM5	A	0.822	0.896	27.55	1.124	182	1.161	30.8
ECU01_0360-m1	RAPTORX	5Z3G	a	0.881	0.938	27.76	1.132	193	1.341	29.5
ECU01_0360-m1	ALPHAFOLD	6EM5	A	0.788	0.857	24.50	1.042	181	1.620	33.1
ECU01_0360-m1	ALPHAFOLD	5Z1G	D	0.830	0.880	25.54	1.047	186	1.829	31.7
ECU01_0360-m1	ALPHAFOLD	5Z1G	B	0.815	0.878	25.52	1.055	184	1.550	32.1
ECU01_0360-m1	RAPTORX	6C0F	b	0.832	0.922	25.03	1.101	193	1.600	27.5
ECU01_0360-m1	ALPHAFOLD	5Z3G	a	0.809	0.869	23.53	1.019	186	1.903	31.7
ECU01_0360-m1	ALPHAFOLD	6C0F	b	0.788	0.863	21.64	1.012	187	2.064	29.9

### ECU01_0380
ECU01_0380-m1	RAPTORX	4CRU	B	0.982	0.959	43.54	1.410	269	0.229	27.9
ECU01_0380-m1	RAPTORX	4CT6	B	0.990	0.958	42.57	1.407	269	0.342	27.9
ECU01_0380-m1	RAPTORX	4CT7	B	0.987	0.959	42.88	1.410	269	0.292	27.9
ECU01_0380-m1	RAPTORX	4CRV	B	0.987	0.959	42.71	1.398	270	0.650	27.8
ECU01_0380-m1	RAPTORX	5ONB	A	0.980	0.956	41.76	1.396	269	0.447	27.9
ECU01_0380-m1	ALPHAFOLD	5ONA	E	0.885	0.894	31.89	1.171	270	1.859	27.8
ECU01_0380-m1	ALPHAFOLD	5ONB	E	0.881	0.882	32.23	1.165	268	2.015	28.0
ECU01_0380-m1	ALPHAFOLD	5ONA	B	0.873	0.897	31.93	1.165	272	1.930	27.6
ECU01_0380-m1	ALPHAFOLD	6HON	A	0.871	0.885	31.66	1.153	270	2.037	27.8
ECU01_0380-m1	ALPHAFOLD	5LSW	A	0.861	0.880	31.77	1.149	268	2.050	28.0

### ECU01_0390
ECU01_0390-m1	RAPTORX	6DS9	A	0.624	0.494	7.16	0.621	90	2.801	4.4
