ECU01_0190	serine hydroxymethyltransferase
ECU01_1240	hypothetical protein
ECU01_1250	hypothetical protein
ECU01_1260	hypothetical protein
ECU01_1270	hypothetical protein
ECU01_1280	nuclear distribution C-like protein
ECU01_1290	WD40 domain-containing protein
ECU01_1300	WD40 domain-containing protein
ECU01_1310	frataxin
ECU01_1320	Rho-associated coiled-coil domain-containing
ECU01_1330	transcription initiation factor TFIID subunit
ECU01_1340	hypothetical protein
ECU01_1350	hypothetical protein
ECU01_1360	putative RNA-binding protein
ECU01_1370	septin
ECU01_1380	glycerophosphoryl diester phosphodiesterase
ECU01_1390	chitin synthase
ECU01_1400	hypothetical protein
ECU01_1410	ATM1 mitochondrial ABC transporter
ECU01_1420	serine-glycine hydroxymethyltransferase
ECU02_0060	hypothetical protein
ECU02_0070	hypothetical protein
ECU02_0080	hypothetical protein
ECU02_0090	hypothetical protein
ECU02_0100	hsp70-like protein
ECU02_0110	hypothetical protein
ECU02_0120	hypothetical protein
ECU02_0130	hypothetical protein
ECU02_0140	putative Ran GTPase binding protein
ECU02_0150	hypothetical protein
ECU02_0160	hypothetical protein
ECU02_0170	hypothetical protein
ECU02_0180	hypothetical protein
ECU02_0190	hypothetical protein
ECU02_0200	Smp2-like plasmid maintenance protein
ECU02_0210	hypothetical protein
ECU02_0220	hypothetical protein
ECU02_0230	hypothetical protein
ECU02_0240	Sof1 domain-containing U3 snoRNP protein
ECU02_0250	putative RNA-binding protein
ECU02_0260	GATA zinc finger domain-containing protein
ECU02_0270	hypothetical protein
ECU02_0280	hypothetical protein
ECU02_0290	replication factor C small subunit
ECU02_0300	hypothetical protein
ECU02_0310	zinc finger domain-containing protein
ECU02_0320	hypothetical protein
ECU02_0330	putative E1-E2 ATPase
ECU02_0340	proteasome beta type-3 subunit
ECU02_0350	hypothetical protein
ECU02_0355	hypothetical protein
ECU02_0360	hypothetical protein
ECU02_0370	hypothetical protein
ECU02_0380	hypothetical protein
ECU02_0390	hypothetical protein
ECU02_0400	hypothetical protein
ECU02_0410	Ras-like GTP binding protein
ECU02_0420	hypothetical protein
ECU02_0430	Sec1-like intracellular trafficking protein
ECU02_0440	glutathione peroxidase
ECU02_0450	transcription initiation factor IIA subunit
ECU02_0460	nucleoporin autopeptidase domain-containing
ECU02_0470	hypothetical protein
ECU02_0480	26S proteasome regulatory complex protein
ECU02_0490	hypothetical protein
ECU02_0500	hypothetical protein
ECU02_0510	mitogen-activated protein kinase
ECU02_0520	TCP-1 chaperonin subunit delta
ECU02_0525	tRNA-Ser
ECU02_0530	hypothetical protein
ECU02_0535	tRNA-Thr
ECU02_0540	hypothetical protein
ECU02_0550	catalytic protein kinase
ECU02_0560	hypothetical protein
ECU02_0570	hypothetical protein
ECU02_0580	hydroxyacylglutathione hydrolase
ECU02_0590	hypothetical protein
ECU02_0600	hypothetical protein
ECU02_0610	ribosomal protein L5
ECU02_0630	hypothetical protein
ECU02_0640	hypothetical protein
ECU02_0650	hypothetical protein
ECU02_0660	hypothetical protein
ECU02_0670	dead box helicase
ECU02_0680	hypothetical protein
ECU02_0690	HscB-like chaperone
ECU02_0700	hypothetical protein
ECU02_0710	hypothetical protein
ECU02_0720	putative histone-like transcription factor
ECU02_0730	poly(A) polymerase
ECU02_0740i	ubiquitin
ECU02_0750i	60S ribosomal protein L7a
ECU02_0760	S26 type I signal peptidase
ECU02_0770	ribosomal protein S17
ECU02_0780	transcription initiation factor IIF small
ECU02_0800	ribosomal protein L6
ECU02_0810	ribosomal protein L24
ECU02_0820	hypothetical protein
ECU02_0830	hypothetical protein
ECU02_0840	hypothetical protein
ECU02_0850	thioredoxin domain-containing protein
ECU02_0860	aminotransferase
ECU02_0870	hypothetical protein
ECU02_0875	tRNA-Pro
ECU02_0880	40S ribosomal protein S8
ECU02_0890	hypothetical protein
ECU02_0900	ribosomal protein L35Ae
ECU02_0910	hypothetical protein
ECU02_0920	hypothetical protein
ECU02_0930	Suf domain-containing protein
ECU02_0940	thioredoxin reductase
ECU02_0950	hypothetical protein
ECU02_0960	emp24/gp25L domain-containing protein
ECU02_0970	transport protein particle component
ECU02_0980	hypothetical protein
ECU02_0990	hypothetical protein
ECU02_1000	hypothetical protein
ECU02_1010	hypothetical protein
ECU02_1020	LSM domain-containing protein
ECU02_1030	hypothetical protein
ECU02_1040	hypothetical protein
ECU02_1045	tRNA-Ala
ECU02_1050	nascent polypeptide-associated complex
ECU02_1060	protein prenyltransferase subunit alpha
ECU02_1070	hypothetical protein
ECU02_1080	ubiquitin domain-containing protein
ECU02_1090	RAD3-like DNA-binding helicase
ECU02_1100	heat shock protein 90
ECU02_1110	hypothetical protein
ECU02_1120	hypothetical protein
ECU02_1130	protein kinase domain-containing protein
ECU02_1140	microsomal signal peptidase 25 kDa subunit
ECU02_1150	DNA replication licensing factor
ECU02_1160	hypothetical protein
ECU02_1170	nuclear transport factor 2 domain-containing
ECU02_1180	hypothetical protein
ECU02_1190	hypothetical protein
ECU02_1200	homeobox domain-containing protein
ECU02_1210	tRNA synthetase class I
ECU02_1220	DNA ligase
ECU02_1230	Sec23/Sec24-like protein
ECU02_1240	chromosome condensation complex Condensin
ECU02_1250	transcription initiation factor TFIID
ECU02_1260	hypothetical protein
ECU02_1270	mitosis protein DIM1
ECU02_1280	hypothetical protein
ECU02_1290	hypothetical protein
ECU02_1300	dolichyl-phosphate-mannose-protein
ECU02_1310	hypothetical protein
ECU02_1320	hypothetical protein
ECU02_1330	hypothetical protein
ECU02_1340	hypothetical protein
ECU02_1350	transcription factor E2F
ECU02_1360	prolyl-tRNA synthetase
ECU02_1370	trehalase
ECU02_1380	peptidase M48 domain-containing protein
ECU02_1390	hypothetical protein
ECU02_1400	hypothetical protein
ECU02_1410	RAB protein geranylgeranyltransferase subunit A
ECU02_1420	hypothetical protein
ECU02_1430	hypothetical protein
ECU02_1440	hypothetical protein
ECU02_1450	serine/threonine kinase
ECU02_1460	Sec23 domain-containing protein
ECU02_1470	prenylated RAB acceptor 1
ECU02_1480	hypothetical protein
ECU02_1485	tRNA-Leu
ECU02_1490	alanyl-tRNA synthetase
ECU02_1500	transcription initiation factor TFIID subunit A
ECU02_1510	hypothetical protein
ECU02_1520	putative DEAD-box helicase
ECU02_1530	hypothetical protein
ECU02_1540	hypothetical protein
ECU03_0090	hypothetical protein
ECU03_0100	hypothetical protein
ECU03_0110	hypothetical protein
ECU03_0120	hypothetical protein
ECU03_0130	hypothetical protein
ECU03_0150	nucleotide sugar transporter
ECU03_0160	hypothetical protein
ECU03_0170	hypothetical protein
ECU03_0180	chromatin organization modifier
ECU03_0190	hypothetical protein
ECU03_0200	Mg-dependent DNase
ECU03_0210	Psp1-like protein
ECU03_0220	T-complex protein 1 subunit alpha
ECU03_0230	60S ribosomal protein L31e
ECU03_0240	MdlB-like ABC transporter
ECU03_0250	hypothetical protein
ECU03_0260	hypothetical protein
ECU03_0270	vesicle coat complex subunit gamma
ECU03_0280	UTP-glucose-1-phosphate uridylyltransferase
ECU03_0290	RNA polymerase II large subunit Rpb1
ECU03_0300	SCF ubiquitin ligase Skp1-like protein
ECU03_0305	V-type ATPase subunit F
ECU03_0310	40S ribosomal protein S16
ECU03_0320	60S ribosomal protein L13
ECU03_0325	tRNA-Ser
ECU03_0330	phosphatidylinositol-4-phosphate 5-kinase
ECU03_0340	phosphoglucomutase
ECU03_0350	hypothetical protein
ECU03_0355	tRNA-Asp
ECU03_0360	U6 snRNA associated Sm-like protein
ECU03_0370	hypothetical protein
ECU03_0380	hypothetical protein
ECU03_0390	ABCG-like transporter
ECU03_0400	hypothetical protein
ECU03_0410	hypothetical protein
ECU03_0420	Spt16/Cdc68-like protein
ECU03_0430	WD40 domain-containing protein
ECU03_0440	DNA-directed RNA polymerase subunit B
ECU03_0450	hypothetical protein
ECU03_0460	sirtuin-like protein
ECU03_0470	ADP-ribosylation factor-like GTPase
ECU03_0480	splicing factor 3a subunit 2
ECU03_0490	DNA-directed RNA polymerase subunit M
ECU03_0500	vacuolar H+-ATPase V1 sector subunit C
ECU03_0510	hypothetical protein
ECU03_0520	heat shock protein 70
ECU03_0530	synaptobrevin/VAMP-like protein
ECU03_0540	MutS-like mismatch repair ATPase
ECU03_0550	Rho/Rac/Cdc42-like GTPase guanine nucleotide
ECU03_0560	putative GTPase-activating protein
ECU03_0570	vacuolar import and degradation protein
ECU03_0580	ubiquitin carboxyl-terminal hydrolase
ECU03_0590	Rab GTPase-interacting Golgi membrane protein
ECU03_0600	homeodomain-containing transcription factor
ECU03_0610	homeodomain-containing transcription factor
ECU03_0620	serine/threonine-specific kinase
ECU03_0630	protein kinase
ECU03_0640	hypothetical protein
ECU03_0650	40S ribosomal protein S14
ECU03_0660	isopeptidase T
ECU03_0670	ribonuclease HII
ECU03_0680	ATP-dependent 6-phosphofructokinase
ECU03_0690	hypothetical protein
ECU03_0700	exoribonuclease R
ECU03_0710	60S ribosomal protein L34
ECU03_0730	RNA binding domain-containing protein
ECU03_0750	RNA-binding protein
ECU03_0760	RNA-binding protein
ECU03_0770	hypothetical protein
ECU03_0780	hypothetical protein
ECU03_0790	hypothetical protein
ECU03_0800	ubiquitin-related modifier-like protein
ECU03_0810	putative TRAPP subunit
ECU03_0820i	beta-tubulin
ECU03_0830	hypothetical protein
ECU03_0840	small nuclear ribonucleoprotein
ECU03_0850	hypothetical protein
ECU03_0860	hypothetical protein
ECU03_0870	hypothetical protein
ECU03_0880	hypothetical protein
ECU03_0890	haspin serine/threonine kinase
ECU03_0900	Sec1-like intracellular trafficking and
ECU03_0910	protein kinase
ECU03_0920	putative tRNA-intron endonuclease
ECU03_0930	ubiquitin-activating enzyme E1
ECU03_0940	putative G2/M transition transcriptional
ECU03_0950	60S ribosomal protein L7
ECU03_0960	hypothetical protein
ECU03_0970	hypothetical protein
ECU03_0980	serine/threonine protein kinase
ECU03_0990	SCP/PR1 domain-containing protein
ECU03_1000	hypothetical protein
ECU03_1010	14-3-3-like signal transduction protein
ECU03_1020	hypothetical protein
ECU03_1030	Cdc6-like protein
ECU03_1040	transcription initiation factor TFIIIB subunit
ECU03_1050	hypothetical protein
ECU03_1060	hypothetical protein
ECU03_1070	transcription initiation factor IIA large chain
ECU03_1080	flap endonuclease-1
ECU03_1090	hypothetical protein
ECU03_1095	tRNA-Phe
ECU03_1100	phosphatidylinositol 4-kinase beta
ECU03_1110	hypothetical protein
ECU03_1115	hypothetical protein
ECU03_1120	putative V-type ATP synthase subunit
ECU03_1130	DNA repair Rad51-like protein
ECU03_1140	hypothetical protein
ECU03_1150	calponin
ECU03_1160	Sac-like phosphoinositide polyphosphatase
ECU03_1170	homeodomain-containing transcription factor
ECU03_1180	peptidase S8-like protein
ECU03_1190	peroxiredoxin
ECU03_1200	hypothetical protein
ECU03_1220	60S ribosomal protein L3
ECU03_1230	hypothetical protein
ECU03_1240	adenine nucleotide alpha hydrolase
ECU03_1250	hypothetical protein
ECU03_1260	hypothetical protein
ECU03_1270	cytidylate kinase
ECU03_1280	hypothetical protein
ECU03_1290	molybdopterin biosynthesis protein MoeB
ECU03_1300	hypothetical protein
ECU03_1305	tRNA-Val
ECU03_1310	hypothetical protein
ECU03_1320	hypothetical protein
ECU03_1330	ATP-dependent 26S proteasome regulatory subunit
ECU03_1340	hypothetical protein
ECU03_1350	N-myristoyl transferase
ECU03_1360	Myg1-like protein
ECU03_1370	histone deacetylase
ECU03_1380	PelA-like RNA-binding protein
ECU03_1390	putative sugar kinase
ECU03_1395	homeobox domain-containing protein
ECU03_1400	hypothetical protein
ECU03_1410	Cdc48-like ATPase
ECU03_1420	hypothetical protein
ECU03_1430	Rab GTPase
ECU03_1440	tRNA nucleotidyltransferase/poly(A) polymerase
ECU03_1450	hypothetical protein
ECU03_1460	histone H3
ECU03_1470	hypothetical protein
ECU03_1480	hypothetical protein
ECU03_1490	60S ribosomal protein L18
ECU03_1500	hypothetical protein
ECU03_1505	hypothetical protein
ECU03_1510	CCAAT-binding factor subunit B
ECU03_1520	WD40 domain-containing protein
ECU03_1530	Snf2-like DNA/RNA helicase
ECU03_1540	hypothetical protein
ECU03_1550	hypothetical protein
ECU03_1560	Rho-like GTPase
ECU03_1570	Ca2+-binding protein
ECU03_1580	hypothetical protein
ECU03_1590	ankyrin-like protein
ECU03_1600	transcription initiation factor IIF auxiliary
ECU03_1610	hypothetical protein
ECU04_0110	hypothetical protein
ECU04_0120	hypothetical protein
ECU04_0125i	40S ribosomal protein S29
ECU04_0130	hypothetical protein
ECU04_0140	40S ribosomal protein S5
ECU04_0150	hypothetical protein
ECU04_0160	hypothetical protein
ECU04_0165	tRNA-Lys
ECU04_0170	hypothetical protein
ECU04_0180	transcription elongation factor S-II
ECU04_0190	hypothetical protein
ECU04_0195	tRNA-Ile
ECU04_0200	protein phosphatase 2A
ECU04_0210	putative glucose transporter
ECU04_0230	histone acetyltransferase complex SAGA/ADA
ECU04_0240	hypothetical protein
ECU04_0250	HrpA-like helicase
ECU04_0260	DHHC-type Zn finger domain-containing protein
ECU04_0270	hypothetical protein
ECU04_0280	RNA polymerase II transcription
ECU04_0290	hypothetical protein
ECU04_0300	protein tyrosine phosphatase
ECU04_0310	26S proteasome regulatory complex protein
ECU04_0320	hypothetical protein
ECU04_0330	60S ribosomal protein L27
ECU04_0340	hypothetical protein
ECU04_0350	DNA topoisomerase II
ECU04_0360	hypothetical protein
ECU04_0370	hypothetical protein
ECU04_0380	hypothetical protein
ECU04_0400	heat shock transcription factor
ECU04_0410	hypothetical protein
ECU04_0420	proteasome 26S non-ATPase subunit 7
ECU04_0430	hypothetical protein
ECU04_0440	hypothetical protein
ECU04_0450	40S ribosomal protein SA
ECU04_0455	tRNA-Ile
ECU04_0460	dimethyladenosine transferase
ECU04_0470	hypothetical protein
ECU04_0480	MdlB-type ABC transporter
ECU04_0485	hypothetical protein
ECU04_0490	E3 ubiquitin-protein ligase
ECU04_0500	hypothetical protein
ECU04_0510	putative RNA-binding protein
ECU04_0520	hypothetical protein
ECU04_0530	putative heat shock transcription factor
ECU04_0540	hypothetical protein
ECU04_0550	hypothetical protein
ECU04_0560	hypothetical protein
ECU04_0570	uridine diphosphate-N-acetylglucosamine
ECU04_0590	hypothetical protein
ECU04_0580	lysyl-tRNA synthetase
ECU04_0600	X-prolyl aminopeptidase
ECU04_0610	hypothetical protein
ECU04_0620	putative methyltransferase
ECU04_0630	ubiquitin-conjugating enzyme E2
ECU04_0640	40S ribosomal protein S11
ECU04_0650	hypothetical protein
ECU04_0660	putative lipase
ECU04_0670	putative dolichol kinase
ECU04_0680	Rab11-like GTPase
ECU04_0690	vacuolar protein sorting-associated protein
ECU04_0700	PP2A-like phosphoprotein phosphatase
ECU04_0710	mitotic phase inducer phosphatase
ECU04_0720	peptidyl-tRNA hydrolase
ECU04_0725	hypothetical protein
ECU04_0730	putative 6-phosphogluconolactonase
ECU04_0740	60S ribosomal protein L22
ECU04_0750	seryl-tRNA synthetase
ECU04_0760	U5 snRNP spliceosome subunit
ECU04_0770	hypothetical protein
ECU04_0780	translation initiation factor 6
ECU04_0790	Sm-like ribonucleoprotein
ECU04_0800	hypothetical protein
ECU04_0810	Ca2+-binding protein
ECU04_0820	Nop56p-like protein
ECU04_0830	hypothetical protein
ECU04_0840	asparagine synthase
ECU04_0850	minichromosome maintenance protein
ECU04_0860	hypothetical protein
ECU04_0870	cohesin
ECU04_0880	hypothetical protein
ECU04_0890	pseudouridine synthase
ECU04_0900	phenylalanyl-tRNA synthetase subunit beta
ECU04_0910	superfamily II RNA helicase
ECU04_0915	tRNA-Leu
ECU04_0920	hypothetical protein
ECU04_0930	chromosome segregation ATPase
ECU04_0940	endoplasmic reticulum translocation complex
ECU04_0950	transcription initiation factor TFIID subunit
ECU04_0960	hypothetical protein
ECU04_0970	homeodomain-containing protein
ECU04_0980	signal recognition particle GTPase
ECU04_0990	hypothetical protein
ECU04_1000	myosin heavy chain
ECU04_1010	hypothetical protein
ECU04_1015	40S ribosomal protein S27
ECU04_1020	T-complex protein 1 subunit theta
ECU04_1030	homeodomain-containing protein
ECU04_1040	hypothetical protein
ECU04_1050	hypothetical protein
ECU04_1060	dolichol-phosphate mannosyltransferase
ECU04_1070	topoisomerase IA
ECU04_1080	hypothetical protein
ECU04_1090	actin-like protein
ECU04_1100	translation elongation factor EF-1 alpha
ECU04_1110	DNA topoisomerase VI subunit A
ECU04_1120	hypothetical protein
ECU04_1130	alpha-1,2 mannosyl-transferase
ECU04_1140	valyl-tRNA synthetase
ECU04_1150	hypothetical protein
ECU04_1160	pyruvate dehydrogenase subunit beta
ECU04_1170	translation initiation factor IF1A
ECU04_1180	putative Ham1 deoxyribonucleotide triphosphate
ECU04_1190	amino acid permease
ECU04_1200	SWIB domain-containing protein
ECU04_1210	ubiquitin fusion degradation protein 2
ECU04_1220	thymidylate kinase
ECU04_1230	hypothetical protein
ECU04_1240	hypothetical protein
ECU04_1250	WD40 domain-containing protein
ECU04_1260	nuclear protein export factor
ECU04_1270	hypothetical protein
ECU04_1280	lysophospholipid acyltransferase
ECU04_1290	superfamily II RNA helicase
ECU04_1300	putative RNA-binding protein
ECU04_1310	60S ribosomal protein L32
ECU04_1320	hypothetical protein
ECU04_1330	hypothetical protein
ECU04_1340	hypothetical protein
ECU04_1350	hypothetical protein
ECU04_1355	40S ribosomal protein S10
ECU04_1357	hypothetical protein
ECU04_1360	CutA-like divalent cation tolerance protein
ECU04_1370	hypothetical protein
ECU04_1380	60S ribosomal protein L13a
ECU04_1390	hypothetical protein
ECU04_1400	DNA-directed RNA polymerase subunit beta'
ECU04_1405	tRNA-Met
ECU04_1410	hypothetical protein
ECU04_1415	tRNA-Pro
ECU04_1420	hypothetical protein
ECU04_1430	hypothetical protein
ECU04_1440	TATA-box binding protein
ECU04_1450	hypothetical protein
ECU04_1460	hypothetical protein
ECU04_1470	Na+/H+ antiporter
ECU04_1480	Zn-finger protein
ECU04_1490	hypothetical protein
ECU04_1500	regulator of chromosome condensation
ECU04_1510	tRNA-binding domain-containing CsaA-like
ECU04_1520	hypothetical protein
ECU04_1530	GTPase activating protein
ECU04_1540	hypothetical protein
ECU04_1550	mRNA capping enzyme subunit beta
ECU04_1560	GTP-binding nuclear protein
ECU04_1570	hypothetical protein
ECU04_1580	hypothetical protein
ECU04_1590	hypothetical protein
ECU04_1600	hypothetical protein
ECU04_1610	hypothetical protein
ECU04_1620	hypothetical protein
ECU04_1625	hypothetical protein
ECU04_1630	hypothetical protein
ECU04_1640	hypothetical protein
ECU04_1650	hypothetical protein
ECU04_1660	hypothetical protein
ECU05_0060	kinesin motor domain-containing protein
ECU05_0070	patatin-like phospholipase domain-containing
ECU05_0080	hypothetical protein
ECU05_0090	putative sar1
ECU05_0100	hypothetical protein
ECU05_0110	hypothetical protein
ECU05_0120	hypothetical protein
ECU05_0140	hypothetical protein
ECU05_0150	hypothetical protein
ECU05_0160	putative amino acid permease
ECU05_0180	hypothetical protein
ECU05_0190	hypothetical protein
ECU05_0200	hypothetical protein
ECU05_0210	hypothetical protein
ECU05_0220	WD40 domain-containing protein
ECU05_0230	hypothetical protein
ECU05_0240	putative nitric-oxide synthase
ECU05_0250	40S ribosomal protein S3AE
ECU05_0260	phosphomannomutase
ECU05_0270	glycerol 3 phosphate dehydrogenase
ECU05_0275	RNA polymerase II subunit Rpb11
ECU05_0280	hypothetical protein
ECU05_0290	proteasome beta type-4 subunit
ECU05_0300	putative DNA mismatch repair protein
ECU05_0310	acetyl-CoA synthetase
ECU05_0320	phosphoglycerate kinase
ECU05_0330	DNA polymerase alpha/epsilon-like protein
ECU05_0340	hypothetical protein
ECU05_0350	RSC chromatin remodeling complex subunit RSC8
ECU05_0360	eukaryotic peptide chain release factor subunit
ECU05_0370	hypothetical protein
ECU05_0380	hypothetical protein
ECU05_0390	beta-CASP domain-containing protein
ECU05_0400	hypothetical protein
ECU05_0405	vacuolar ATP synthase subunit E-like protein
ECU05_0410i	putative GTPase
ECU05_0420	hypothetical protein
ECU05_0430	hypothetical protein
ECU05_0435	hypothetical protein
ECU05_0440	calcineurin-like phosphoesterase
ECU05_0450	CCAAT-binding factor subunit C
ECU05_0460	putative phosphoesterase
ECU05_0470	ribosomal protein L10-like protein
ECU05_0480	hypothetical protein
ECU05_0490	hypothetical protein
ECU05_0495	hypothetical protein
ECU05_0500	putative transcription initiation factor TFIIIB
ECU05_0510	hypothetical protein
ECU05_0520	hypothetical protein
ECU05_0530	hypothetical protein
ECU05_0540	FAT domain-containing protein
ECU05_0550	hypothetical protein
ECU05_0560	Fcf1 domain-containing protein
ECU05_0570	hypothetical protein
ECU05_0580	putative amino acid transporter
ECU05_0590	hypothetical protein
ECU05_0595	tRNA-Leu
ECU05_0600	putative ribosomal protein L1
ECU05_0610	hypothetical protein
ECU05_0620	Ran GTPase-activating protein
ECU05_0630	putative serine/threonine kinase
ECU05_0640	hypothetical protein
ECU05_0650	glucose-6-phosphate isomerase
ECU05_0660	hypothetical protein
ECU05_0670	ribosomal protein S6e
ECU05_0680	putative pseudouridine synthase
ECU05_0690	putative membrane protein
ECU05_0700	hypothetical protein
ECU05_0710	RhoGAP domain-containing protein
ECU05_0720	hypothetical protein
ECU05_0730	serine palmitoyltransferase
ECU05_0740	hypothetical protein
ECU05_0750	hypothetical protein
ECU05_0760	peptidase C48 domain-containing protein
ECU05_0770	hypothetical protein
ECU05_0780	minichromosome maintenance protein
ECU05_0790	hypothetical protein
ECU05_0800	putative GTPase
ECU05_0810	serine/threonine protein phosphatase 2A-like
ECU05_0820	hypothetical protein
ECU05_0830	hypothetical protein
ECU05_0840	PX domain-containing protein
ECU05_0850	hypothetical protein
ECU05_0860	6-phosphogluconate dehydrogenase
ECU05_0870	HAM1 domain-containing protein
ECU05_0880	hypothetical protein
ECU05_0883	tRNA-Thr
ECU05_0885	hypothetical protein
ECU05_0890	hypothetical protein
ECU05_0900	ribosomal protein L21
ECU05_0910i	small nuclear ribonucleoprotein
ECU05_0920	40S ribosomal protein S9
ECU05_0930	phosphatidylinositol transfer protein
ECU05_0940	putative superfamily II RNA helicase
ECU05_0950	putative SAM dependent methyltransferase
ECU05_0960	hypothetical protein
ECU05_0970	hypothetical protein
ECU05_0980	anaphase-promoting complex subunit 10
ECU05_0990	DNA polymerase type-B alpha subfamily catalytic
ECU05_1000	ADP-ribosylation factor family domain-containing
ECU05_1010	WD G-beta repeat domain-containing protein
ECU05_1020	putative centromere/microtubule binding protein
ECU05_1030	putative proliferating cell nuclear antigen
ECU05_1040	hypothetical protein
ECU05_1050	hypothetical protein
ECU05_1060	RNA pol Rpb4 domain-containing protein
ECU05_1070	putative RIO kinase
ECU05_1080	putative proteasome regulatory complex
ECU05_1090	hypothetical protein
ECU05_1100	hypothetical protein
ECU05_1110	putative DNA helicase
ECU05_1120i	tyrosinyl-tRNA synthetase catalytic core
ECU05_1130	pre-mRNA cleavage GTPase subunit
ECU05_1140	putative Cdc48 ATPase
ECU05_1150	hypothetical protein
ECU05_1160	hypothetical protein
ECU05_1170	hypothetical protein
ECU05_1180	hypothetical protein
ECU05_1190	elongation factor 3
ECU05_1200	hypothetical protein
ECU05_1210	putative DNA primase
ECU05_1220	putative t-SNARE complex subunit
ECU05_1230	putative G10 protein
ECU05_1240	putative gamma-glutamyltransferase
ECU05_1250	putative phosphatidate cytidylyltransferase
ECU05_1260	hypothetical protein
ECU05_1270	putative ATP-dependent RNA helicase
ECU05_1280	putative Mre11 subunit
ECU05_1290	hypothetical protein
ECU05_1300	hypothetical protein
ECU05_1310	LSM domain-containing protein
ECU05_1320	ribosomal protein S4-like protein
ECU05_1330	putative DNA replication protein kinase
ECU05_1340	proteasome alpha subunit
ECU05_1350	PUA domain-containing protein
