Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q8SQH8	ARF_ENCCU	reviewed	ADP-ribosylation factor	ARF-1 ECU08_1930; ARF-2 ECU10_0090	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	207
Q8SRM1	ASF1_ENCCU	reviewed	Histone chaperone ASF1 (Anti-silencing function protein 1)	ASF1 ECU07_0130	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	292
Q8SSE7	ATR_ENCCU	reviewed	Probable serine/threonine-protein kinase MEC1 homolog (EC 2.7.11.1) (ATR homolog) (DNA-damage checkpoint kinase MEC1 homolog)	MEC1 ECU02_1130	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	1935
Q8SVD9	BUD12_ENCCU	reviewed	Probable serine/threonine-protein kinase BUD32 homolog (EC 2.7.11.1)	BUD32 ECU06_0400	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	197
Q8SU52	CCR4_ENCCU	reviewed	Probable glucose-repressible alcohol dehydrogenase transcriptional effector homolog (EC 3.1.13.4) (Carbon catabolite repressor protein 4) (Cytoplasmic deadenylase)	CCR4 ECU11_0770	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	493
Q8SQR3	CDC10_ENCCU	reviewed	Cell division control protein 10	CDC10 ECU11_1950	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	399
Q8STS8	CDC11_ENCCU	reviewed	Cell division control protein 11	CDC11 ECU09_0820	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	303
Q8SSI8	CDC3_ENCCU	reviewed	Cell division control protein 3	CDC3 ECU01_1370	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	371
Q8SSJ5	CDC48_ENCCU	reviewed	Cell division control protein 48	CDC48 ECU01_1230	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	780
Q8SWM6	CDC5_ENCCU	reviewed	Probable cell cycle serine/threonine-protein kinase CDC5 homolog (EC 2.7.11.21)	CDC5 ECU01_0630	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	488
Q8SR85	CDC71_ENCCU	reviewed	Probable cell division control protein 7 homolog 1 (EC 2.7.11.1)	CDC7-1 ECU08_1960	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	351
Q8SR83	CDC72_ENCCU	reviewed	Probable cell division control protein 7 homolog 2 (EC 2.7.11.1)	CDC7-2 ECU10_0120	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	351
Q8SR86	CDK1_ENCCU	reviewed	Cyclin-dependent kinase 1 (CDK1) (Cell division control protein 28 homolog) (EC 2.7.11.22) (Cell division protein kinase 1)	CDC28 CDK1 ECU08_1920	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	296
Q95ZE3	CDS1_ENCCU	reviewed	Phosphatidate cytidylyltransferase (EC 2.7.7.41) (CDP-DAG synthase) (CDP-DG synthase) (CDP-diacylglycerol synthase) (CDS) (CDP-diglyceride pyrophosphorylase) (CDP-diglyceride synthase) (CTP:phosphatidate cytidylyltransferase)	CDS1 ECU05_1250	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	393
Q8SSA8	CHK1_ENCCU	reviewed	Probable serine/threonine-protein kinase CHK1 homolog (EC 2.7.11.1)	CHK1 ECU03_0620	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	414
Q8SSI7	CHS1_ENCCU	reviewed	Chitin synthase 1 (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase 1) (Class-IV chitin synthase 1)	CHS1 ECU01_1390	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	816
Q8SRD1	COPZ_ENCCU	reviewed	Coatomer subunit zeta (Zeta-coat protein) (Zeta-COP)	ECU08_0680	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	165
Q8SRU0	CSK2A_ENCCU	reviewed	Probable casein kinase II subunit alpha homolog (CK II subunit alpha) (EC 2.7.11.1)	CKA1 ECU05_1510	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	319
Q8SQW2	CTK1_ENCCU	reviewed	Probable CTD kinase subunit alpha homolog (CTDK-I subunit alpha) (EC 2.7.11.23) (CTD kinase subunit 1)	CTK1 ECU11_0960	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	329
Q8SVR6	CUTA_ENCCU	reviewed	Probable divalent-cation tolerance protein cutA homolog	ECU04_1360	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	114
Q8SRE1	CYPH_ENCCU	reviewed	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8) (Cyclophilin) (CPH) (Rotamase)	CPR1 ECU08_0470	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	172
Q8SRB2	DBP2_ENCCU	reviewed	ATP-dependent RNA helicase DBP2 (EC 3.6.4.13)	DBP2 ECU08_1080	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	495
Q8SR01	DBP4_ENCCU	reviewed	ATP-dependent RNA helicase DBP4 (EC 3.6.4.13)	DBP4 ECU10_1680	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	452
Q8SQK9	DHH1_ENCCU	reviewed	ATP-dependent RNA helicase DHH1 (EC 3.6.4.13)	DHH1 ECU09_1640	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	489
Q8SQN2	DHYS_ENCCU	reviewed	Deoxyhypusine synthase (DHS) (EC 2.5.1.46)	DYS1 ECU09_0910	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	362
Q8SV71	DOHH_ENCCU	reviewed	Deoxyhypusine hydroxylase (DOHH) (EC 1.14.99.29) (Deoxyhypusine dioxygenase) (Deoxyhypusine monooxygenase)	LIA1 ECU06_1490	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	285
Q8SUZ5	DPH1_ENCCU	reviewed	Diphthamide biosynthesis protein 1	DPH1 ECU07_0980	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	414
Q8STR6	DPH3_ENCCU	reviewed	Diphthamide biosynthesis protein 3	DPH3 ECU09_1005	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	93
Q8SWE5	DRE2_ENCCU	reviewed	Fe-S cluster assembly protein DRE2 (Anamorsin homolog)	DRE2 ECU02_0490	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	112
Q8SRS0	DUT_ENCCU	reviewed	Deoxyuridine 5'-triphosphate nucleotidohydrolase (dUTPase) (EC 3.6.1.23) (dUTP pyrophosphatase)	DUT1 ECU06_0430	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	144
O62583	DYR_ENCCU	reviewed	Dihydrofolate reductase (EC 1.5.1.3)	DHFR-1 ECU01_0170; DHFR-2 ECU01_1450; DHFR-3 ECU08_0080	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	205
Q8SQW6	ECT1_ENCCU	reviewed	Probable ethanolamine-phosphate cytidylyltransferase (EC 2.7.7.14) (CTP:phosphoethanolamine cytidylyltransferase) (Phosphorylethanolamine transferase)	MUQ1 ECU11_0870	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	322
Q8SS29	EF1A_ENCCU	reviewed	Elongation factor 1-alpha (EF-1-alpha) (Eukaryotic elongation factor 1A) (eEF1A) (Translation elongation factor 1A)	TEF1 ECU04_1100	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	505
Q8SQT7	EF2_ENCCU	reviewed	Elongation factor 2 (EF-2) (Eukaryotic elongation factor 2) (eEF2) (Ribosomal translocase) (Translation elongation factor 2)	EFT1 ECU11_1460	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	850
Q8STS7	ELOF1_ENCCU	reviewed	Transcription elongation factor 1 homolog	ECU09_0850	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	80
Q8SWL3	ENP1_ENCCU	reviewed	Spore wall and anchoring disk complex protein EnP1 (Host cell adhesion protein EnP1)	EnP1 ECU01_0820	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	357
Q8SR42	FBRL_ENCCU	reviewed	rRNA 2'-O-methyltransferase fibrillarin (EC 2.1.1.-)	NOP1 ECU10_0820	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	291
Q8SV03	FCP1_ENCCU	reviewed	RNA polymerase II subunit A C-terminal domain phosphatase (EC 3.1.3.16) (CTD phosphatase FCP1)	FCP1 ECU07_0890	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	411
Q8SS91	FEN1_ENCCU	reviewed	Flap endonuclease 1 (FEN-1) (EC 3.1.-.-) (Flap structure-specific endonuclease 1)	FEN1 ECU03_1080	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	345
Q8SWI3	FRDA_ENCCU	reviewed	Frataxin, mitosomal (Fxn)	YFH1 ECU01_1310	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	118
Q8SR89	G6PD_ENCCU	reviewed	Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49)	ZWF1 ECU08_1850	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	434
Q8SRY1	G6PI_ENCCU	reviewed	Probable glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)	ECU05_0650	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	508
O96722	GAR1_ENCCU	reviewed	H/ACA ribonucleoprotein complex subunit 1 (snoRNP protein GAR1)	GAR1 ECU01_1360	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	195
Q8SRB0	GBLP_ENCCU	reviewed	Guanine nucleotide-binding protein subunit beta-like protein	ECU08_1110	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	334
Q8SRI2	GFA1_ENCCU	reviewed	Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] (GFAT) (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase) (Hexosephosphate aminotransferase)	GFA1 ECU07_1280	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	699
Q8SSH0	GLO2_ENCCU	reviewed	Probable hydroxyacylglutathione hydrolase ECU02_0580 (EC 3.1.2.6) (Glyoxalase II) (Glx II)	ECU02_0580	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	263
Q8SUM8	GLRX_ENCCU	reviewed	Glutaredoxin-like protein ECU08_1380	ECU08_1380	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	106
O62585	GLYC_ENCCU	reviewed	Serine hydroxymethyltransferase, cytosolic (SHMT) (EC 2.1.2.1) (Glycine hydroxymethyltransferase) (Serine methylase)	SHMT-1 ECU01_0190; SHMT-2 ECU01_1420	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	460
Q8SUT1	GNL3L_ENCCU	reviewed	Guanine nucleotide-binding protein-like 3-like protein	ECU08_0330	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	387
Q8SR40	GPDH_ENCCU	reviewed	Probable glycerol-3-phosphate dehydrogenase (GPDH) (EC 1.1.5.3)	ECU10_0870	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	614
Q8SSH7	GPX_ENCCU	reviewed	Probable phospholipid hydroperoxide glutathione peroxidase (PHGPx) (EC 1.11.1.12)	ECU02_0440	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	177
Q8SS11	GSP1_ENCCU	reviewed	GTP-binding nuclear protein GSP1 (GTPase Ran homolog)	GSP1 ECU04_1560	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	214
Q8SSG3	H2A_ENCCU	reviewed	Histone H2A	HTA1 ECU02_0720	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	128
Q8SRE2	H2B_ENCCU	reviewed	Histone H2B	HTB1 ECU08_0410	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	130
Q8SS77	H31_ENCCU	reviewed	Histone H3.1	HHT1 ECU03_1460	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	144
Q8SQP3	H3L_ENCCU	reviewed	Histone H3-like protein	ECU09_0450	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	140
Q8SQP4	H4_ENCCU	reviewed	Histone H4	HHF1 ECU09_0440	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	103
Q8SRK1	HAT2_ENCCU	reviewed	Histone acetyltransferase type B subunit 2	HAT2 ECU07_0750	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	384
Q8SW18	HD10_ENCCU	reviewed	Homeobox protein HD-10 (EcHD-10)	HD-10 ECU03_1170	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	227
Q8SWA6	HD11_ENCCU	reviewed	Homeobox protein HD-11 (EcHD-11)	HD-11 ECU02_1200	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	167
Q8SRR1	HD12_ENCCU	reviewed	Homeobox protein HD-12 (EcHD-12)	HD-12 ECU06_0740	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	193
Q8SUB7	HD1_ENCCU	reviewed	Homeobox protein HD-1 (EcHD-1)	HD-1 ECU10_1470	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	157
Q8SR09	HD2_ENCCU	reviewed	Homeobox protein HD-2 (EcHD-2)	HD-2 ECU10_1480	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	192
Q8SVD3	HD3_ENCCU	reviewed	Homeobox protein HD-3 (EcHD-3)	HD-3 ECU06_0500	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	107
Q8STR8	HD4_ENCCU	reviewed	Homeobox protein HD-4 (EcHD-4)	HD-4 ECU09_0970	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	132
Q8SVT3	HD5_ENCCU	reviewed	Homeobox protein HD-5 (EcHD-5)	HD-5 ECU04_1030	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	133
Q8SVT6	HD6_ENCCU	reviewed	Homeobox protein HD-6 (EcHD-6)	HD-6 ECU04_0970	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	121
Q8SW50	HD7_ENCCU	reviewed	Homeobox protein HD-7 (EcHD-7)	HD-7 ECU03_0610	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	148
Q8SW51	HD8_ENCCU	reviewed	Homeobox protein HD-8 (EcHD-8)	HD-8 ECU03_0600	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	125
Q7SI91	HD9_ENCCU	reviewed	Homeobox protein HD-9 (EcHD-9)	HD-9 ECU03_1395	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	97
Q8SS62	HSF_ENCCU	reviewed	Probable heat shock factor protein homolog (HSF) (Heat shock transcription factor) (HSTF)	HSF ECU04_0400	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	290
O96772	HSP70_ENCCU	reviewed	Mitochondrial-type heat shock protein 70 (mit-hsp70)	HSP70 ECU11_0540	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	592
Q8SWH2	HSP7A_ENCCU	reviewed	Heat shock protein ECU02_0100	ECU02_0100	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	687
Q8SSB1	HSP7B_ENCCU	reviewed	Heat shock protein homolog ECU03_0520	ECU03_0520	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	683
Q8SQR8	HSP7F_ENCCU	reviewed	Heat shock protein homolog SSE1	SSE1 ECU11_1830	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	664
Q8SSE8	HSP82_ENCCU	reviewed	Heat shock protein 90	HSP90 ECU02_1100	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	690
O96719	IF2G_ENCCU	reviewed	Eukaryotic translation initiation factor 2 subunit gamma (eIF-2-gamma)	ECU01_0700	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	439
Q8SQM5	IF4A_ENCCU	reviewed	ATP-dependent RNA helicase eIF4A (EC 3.6.4.13) (Eukaryotic initiation factor 4A) (eIF-4A) (Translation initiation factor 1)	TIF1 TIF41 ECU09_1200	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	425
Q8SVP8	IF4G_ENCCU	reviewed	Probable eukaryotic translation initiation factor 4 gamma homolog (eIF-4-gamma)	EIF4G ECU04_1610	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	627
Q8SS47	IF6_ENCCU	reviewed	Eukaryotic translation initiation factor 6 (eIF-6)	TIF6 ECU04_0780	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	241
Q8SR54	IMPO_ENCCU	reviewed	Probable importin ECU10_0620 (Probable karyopherin ECU10_0620)	ECU10_0620	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	939
Q8SRL5	IPL1_ENCCU	reviewed	Probable spindle assembly checkpoint kinase homolog (EC 2.7.11.1) (Aurora kinase)	IPL1 ECU07_0360	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	272
Q8SR69	IPYR_ENCCU	reviewed	Inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase)	IPP1 ECU10_0340	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	277
Q8SSM2	ISU1_ENCCU	reviewed	Iron sulfur cluster assembly protein 1 (Iron sulfur cluster scaffold protein 1)	ISU1 ECU01_0510	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	140
Q8SS24	ITPA_ENCCU	reviewed	Inosine triphosphate pyrophosphatase (ITPase) (Inosine triphosphatase) (EC 3.6.1.19) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase)	ECU04_1180	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	192
Q8SVC2	KADL_ENCCU	reviewed	Adenylate kinase-like protein (EC 2.7.4.3)	ECU06_0650	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	123
Q8SQQ3	KAE1_ENCCU	reviewed	Probable tRNA threonylcarbamoyladenosine biosynthesis protein KAE1 (t(6)A37 threonylcarbamoyladenosine biosynthesis protein KAE1)	KAE1 ECU09_0140	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	331
Q8SRK8	KAPC_ENCCU	reviewed	Probable cAMP-dependent protein kinase catalytic subunit (EC 2.7.11.11)	ECU07_0520	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	322
Q8SS96	KC11_ENCCU	reviewed	Probable casein kinase I homolog ECU03_0910 (EC 2.7.11.1)	ECU03_0910	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	304
Q8SQR2	KC12_ENCCU	reviewed	Probable casein kinase I homolog ECU11_1980 (EC 2.7.11.1)	ECU11_1980	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	318
Q8SS83	KCY_ENCCU	reviewed	Probable cytidylate kinase (CK) (EC 2.7.4.25) (Cytidine monophosphate kinase) (CMP kinase)	ECU03_1270	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	220
Q8SW31	KIN1_ENCCU	reviewed	Probable serine/threonine-protein kinase KIN1 homolog (EC 2.7.11.1)	KIN1 ECU03_0980	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	566
Q8SW92	KIN28_ENCCU	reviewed	Probable serine/threonine-protein kinase KIN28 homolog (EC 2.7.11.23)	KIN28 ECU02_1450	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	308
O96720	KITH_ENCCU	reviewed	Thymidine kinase (EC 2.7.1.21)	TK ECU01_0740i	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	212
Q8SQP0	KPYK_ENCCU	reviewed	Pyruvate kinase (PK) (EC 2.7.1.40)	PYK1 ECU09_0640	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	519
Q8SQK1	LSM2_ENCCU	reviewed	Probable U6 snRNA-associated Sm-like protein LSm2	LSM2 ECU09_1805	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	94
Q8SQH7	LSMH_ENCCU	reviewed	Probable U6 snRNA-associated Sm-like protein	ECU07_1830; ECU11_2070	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	70
Q8SRK0	MAS5_ENCCU	reviewed	Mitochondrial protein import protein mas5	MAS5 ECU07_0760	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	398
Q8SR66	MCES_ENCCU	reviewed	mRNA cap guanine-N7 methyltransferase (EC 2.1.1.56) (mRNA (guanine-N(7)-)-methyltransferase) (mRNA cap methyltransferase)	ABD1 ECU10_0380	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	298
Q8SU76	MED31_ENCCU	reviewed	Mediator of RNA polymerase II transcription subunit 31 (Mediator complex subunit 31)	SOH1 MED31 ECU11_0360	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	103
Q8SWN5	MED6_ENCCU	reviewed	Mediator of RNA polymerase II transcription subunit 6 (Mediator complex subunit 6)	MED6 ECU01_0500	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	177
Q8SSH4	MPS1_ENCCU	reviewed	Probable serine/threonine-protein kinase MPS1 homolog (EC 2.7.12.2) (Monopolar spindle protein 1)	MPS1 ECU02_0510	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	586
Q8SRV0	MRE11_ENCCU	reviewed	Double-strand break repair protein MRE11	MRE11 ECU05_1280	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	567
Q8SRI3	MRK1_ENCCU	reviewed	Probable serine/threonine-protein kinase MRK1 homolog (EC 2.7.11.1)	MRK1 ECU07_1270	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	334
Q8SWB5	NACA_ENCCU	reviewed	Nascent polypeptide-associated complex subunit alpha (NAC-alpha) (Alpha-NAC)	EGD2 ECU02_1050	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	157
Q8SVJ2	NAR1_ENCCU	reviewed	Cytosolic Fe-S cluster assembly factor NAR1 (Nuclear architecture-related protein 1)	NAR1 ECU05_0970	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	365
Q8SUE9	NDC80_ENCCU	reviewed	Probable kinetochore protein NDC80	NDC80 ECU10_0810	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	543
Q8SRM7	NDK_ENCCU	reviewed	Nucleoside diphosphate kinase (NDK) (NDP kinase) (NDPK) (EC 2.7.4.6)	NDK1 ECU06_1530	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	147
Q8SQS2	NFS1_ENCCU	reviewed	Cysteine desulfurase, mitosomal (EC 2.8.1.7)	NFS1 ECU11_1770	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	432
Q8SVJ8	NOG1_ENCCU	reviewed	Nucleolar GTP-binding protein 1	NOG1 ECU05_0800	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	528
Q8SVN8	NTE1_ENCCU	reviewed	Lysophospholipase NTE1 (EC 3.1.1.5) (Intracellular phospholipase B) (Neuropathy target esterase homolog)	NTE1 ECU05_0070	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	905
Q8SRB8	NTH1_ENCCU	reviewed	Endonuclease III homolog (EC 4.2.99.18) (DNA-(apurinic or apyrimidinic site) lyase)	NTH1 ECU08_0880	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	238
Q8SRA2	NTT1_ENCCU	reviewed	ADP,ATP carrier protein 1 (ADP/ATP translocase 1) (Nucleotide transporter 1)	NTT1 ECU08_1300	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	559
Q8SUF9	NTT2_ENCCU	reviewed	ADP,ATP carrier protein 2 (ADP/ATP translocase 2) (Nucleotide transporter 2)	NTT2 ECU10_0540	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	553
Q8SUG0	NTT3_ENCCU	reviewed	ADP,ATP carrier protein 3 (ADP/ATP translocase 3) (Nucleotide transporter 3)	NTT3 ECU10_0520	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	543
